author,body,datalegacylang,clean_text,speech_category
DorcasOrcas,"China, this is what you are known for:\n#animalrights @stopanimalcruelty @stopanimalabuse #China #BoycottChina @BBCNews @ITV \n@rspca_official @AnimalsAsia @ChinaDaily @PawsofChina\n#stopanimaltorturechina\n://www.instagram.com/reel/DXWROTVAMq4/?igsh=MTRkY2UxbGU5bHJ4Mw==",en,"china, this is what you are known for: animalrights china stopanimaltorturechina ://",Hate Speech
RodneyR58127664,#BoycottChina #CatAbusersChina visa workers and their employers displacing Americans from #CareerOpportunities/#MedicalResidencies @SenFettermanPA @SenMcCormickPA @RepMeuser @USCIS @SecMullinDHS @Sonderling47 @SecKennedy @SecRubio.\nhttps://t.co/KJSRXlLvzS https://t.co/6WgWXzu64M,en,catabuserschina visa workers and their employers displacing americans from careeropportunities/medicalresidencies .,Hate Speech
nimernight38961,#China\n#MadeInChina\n#BoycottChina\n#ChinaTravel\nChina doesn't have Animal protection laws❗❗❗❗❗❗,en,china madeinchina chinatravel china doesn't have animal protection laws,Dangerous Speech
fish_puddle,"@Samesamaalways @nimernight38961 They are ugly psychopaths, monsters!!! #BoycottChina‼️",en,"they are ugly psychopaths, monsters!!!",Hate Speech
RamirezVelhagen,#BoycottChina and its culture of cruelty and brutality,en,and its culture of cruelty and brutality,Hate Speech
8piratez,#BoycottChina fuck china,en,fuck china,Hate Speech
ModaBella15,@NickLoconteJr Shame on #China unable to educate its population #BoycottChina https://t.co/Y3y2j9k7dK,en,shame on china unable to educate its population,Hate Speech
NickLoconteJr,These subhumans are trash. All the worst traits of mankind. #China #BoycottChina #AnimalCruelty,en,these subhumans are trash. all the worst traits of mankind. china animalcruelty,Hate Speech
NickLoconteJr,"""\""Cats are pest\"" asshole is back in yet another form. Send him back to the sewer please\n\n👉@ d21te8c5jn98132 💩🇨🇳💩\n\n#China #AnimalCruelty #BoycottChina #StopChinaCatTorture https://t.co/Zb7zmvdONZ""",en,"""\""cats are pest\"" asshole is back in yet another form. send him back to the sewer please @ d21te8c5jn98132 china animalcruelty stopchinacattorture",Dangerous Speech
nimernight38961,#China\n#MadeInChina\n#BoycottChina\nCats and Kittens in #China are in constant danger. This country doesn't have laws to protect Animals from horrific torture for Profit and porn!,en,china madeinchina cats and kittens in china are in constant danger. this country doesn't have laws to protect animals from horrific torture for profit and porn!,Dangerous Speech
NickLoconteJr,When is this shit gonna finally stop?  😡💩🇨🇳💩 #AnimalCruelty #BoycottChina,en,when is this shit gonna finally stop? animalcruelty,Hate Speech
NickLoconteJr,"Boycott this sadistic nation. Don't buy products from them, don't travel there, shun them and let them know why #BoycottChina #AnimalCruelty",en,"boycott this sadistic nation. don't buy products from them, don't travel there, shun them and let them know why animalcruelty",Hate Speech
NickLoconteJr,#China is the world's abomination. It's the epicenter of #AnimalCruelty which spreads to other countries like a plague #BoycottChina 😡💩🇨🇳💩🇨🇳💩,en,china is the world's abomination. it's the epicenter of animalcruelty which spreads to other countries like a plague,Dangerous Speech
MarkRob84,"The sacred deer of Nara are revered by the Japanese, yet these disrespectful, filthy, cheap Chinese tourists trample tradition and show zero respect for living heritage. 1/3\n#BoycottChina  #Nara #Japan\n\n@ECOAlphaTango @ev_edward2 @vagitableunited \n@Thenina77  \n@animals_cn https://t.co/P8oV2rSreZ",en,"the sacred deer of nara are revered by the japanese, yet these disrespectful, filthy, cheap chinese tourists trample tradition and show zero respect for living heritage. 1/3 nara japan",Hate Speech
