author,body,datalegacylang
DorcasOrcas,"China, this is what you are known for:\n#animalrights @stopanimalcruelty @stopanimalabuse #China #BoycottChina @BBCNews @ITV \n@rspca_official @AnimalsAsia @ChinaDaily @PawsofChina\n#stopanimaltorturechina\n://www.instagram.com/reel/DXWROTVAMq4/?igsh=MTRkY2UxbGU5bHJ4Mw==",en
RodneyR58127664,#BoycottChina #CatAbusersChina visa workers and their employers displacing Americans from #CareerOpportunities/#MedicalResidencies @SenFettermanPA @SenMcCormickPA @RepMeuser @USCIS @SecMullinDHS @Sonderling47 @SecKennedy @SecRubio.\nhttps://t.co/KJSRXlLvzS https://t.co/6WgWXzu64M,en
nimernight38961,#China\n#MadeInChina\n#BoycottChina\n#ChinaTravel\nChina doesn't have Animal protection laws❗❗❗❗❗❗,en
fish_puddle,"@Samesamaalways @nimernight38961 They are ugly psychopaths, monsters!!! #BoycottChina‼️",en
RamirezVelhagen,#BoycottChina and its culture of cruelty and brutality,en
8piratez,#BoycottChina fuck china,en
ModaBella15,@NickLoconteJr Shame on #China unable to educate its population #BoycottChina https://t.co/Y3y2j9k7dK,en
NickLoconteJr,These subhumans are trash. All the worst traits of mankind. #China #BoycottChina #AnimalCruelty,en
NickLoconteJr,"""\""Cats are pest\"" asshole is back in yet another form. Send him back to the sewer please\n\n👉@ d21te8c5jn98132 💩🇨🇳💩\n\n#China #AnimalCruelty #BoycottChina #StopChinaCatTorture https://t.co/Zb7zmvdONZ""",en
nimernight38961,#China\n#MadeInChina\n#BoycottChina\nCats and Kittens in #China are in constant danger. This country doesn't have laws to protect Animals from horrific torture for Profit and porn!,en
NickLoconteJr,When is this shit gonna finally stop?  😡💩🇨🇳💩 #AnimalCruelty #BoycottChina,en
NickLoconteJr,"Boycott this sadistic nation. Don't buy products from them, don't travel there, shun them and let them know why #BoycottChina #AnimalCruelty",en
NickLoconteJr,#China is the world's abomination. It's the epicenter of #AnimalCruelty which spreads to other countries like a plague #BoycottChina 😡💩🇨🇳💩🇨🇳💩,en
MarkRob84,"The sacred deer of Nara are revered by the Japanese, yet these disrespectful, filthy, cheap Chinese tourists trample tradition and show zero respect for living heritage. 1/3\n#BoycottChina  #Nara #Japan\n\n@ECOAlphaTango @ev_edward2 @vagitableunited \n@Thenina77  \n@animals_cn https://t.co/P8oV2rSreZ",en
NamiKim_DogsSK,"""Our support against the heinous #DogMeatTrade in #China\n\nSharing from .@WeAreNotFood \n\n➡️https://t.co/2OUr6g88Jy\n\n❗#BOYCOTTCHINA UNTIL IT PUTS AN END TO THIS HELL❗\n\n\""Exposed \nThe dog was caught and loaded onto a truck with the text 'Dengfeng City Livestock and Poultry Harmless https://t.co/OYUTLmvucI""",en
Kangarooei,"#BoycottChina, it’s a shit hole!!!!",en
SerdarOzdemir99,@AmbassadeChine You are a disgusting society. The whole world knows the Chinese from the videos of them torturing cats and dogs. And the whole world hates the Chinese.\n\n#XiJinping #BoycottChina,en
NamiKim_DogsSK,"""Our support against the heinous #DogMeatTrade in #China\n\nSharing from .@WeAreNotFood\n\n➡️https://t.co/6TeJs432q9\n\n❗#BOYCOTTCHINA UNTIL IT PUTS AN END TO THIS HELL❗\n\n\""The old woman turned away and wept bitterly after selling the dog (to the meat trade). \nWords fail me... \nWas she https://t.co/tvksMEi8v6""",en
NickLoconteJr,"When social media is used to torture animals for cheap praise &amp; profit, that's when you know humans are unworthy of their dominion over the animal kingdom. We should be caretakers of this world, not conquerers &amp; abusers. 😡#AnimalCruelty #BoycottChina",en
nimernight38961,"#China\n#MadeInChina\n#BoycottChina\nThe daily suffer from Cats and Kittens are captured on Camera, sold for Profit and pleasure. \nWe demand Animal protection laws in China❗❗❗❗❗",en
IrisMay8552,@CarlaCo92330391 @True8bebe4 #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
Lailabeke,#BoycottChina \nEvil,en
IrisMay8552,@lovemimisan2 #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
IrisMay8552,@PhaedraXTeddy #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
IrisMay8552,@ICzj8ZOyzuY7SLr @True8bebe4 #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
