author,body,datalegacylang
DorcasOrcas,"China, this is what you are known for:\n#animalrights @stopanimalcruelty @stopanimalabuse #China #BoycottChina @BBCNews @ITV \n@rspca_official @AnimalsAsia @ChinaDaily @PawsofChina\n#stopanimaltorturechina\n://www.instagram.com/reel/DXWROTVAMq4/?igsh=MTRkY2UxbGU5bHJ4Mw==",en
1Springhead,@USA_China_Talk @MFA_China @USAmbChina\n@XHNews @PDChina @ChinaDaily @SCMPNews\n@Echinanews @ChineseWSJ @ChineseEmbinUS @BBCWorld @bbcchinese #Chinese #BoycottChina #China #FUCKChina #FilthyChina #AnimalAbuse #animalcruelty #MENTALLYILL,qme
JuanyManuela1,#BoycottChina,qht
JuanyManuela1,@PhaedraXTeddy #BoycottChina,qme
Rosenrot2026,@True8bebe4 #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina\n@PETA\n@HSIGlobal\n@fourpawsint\n@AnimalsAsia\n@amnesty\n@hrw\n@whyyoutouzhele,qme
RodneyR58127664,#BoycottChina #CatAbusersChina visa workers and their employers displacing Americans from #CareerOpportunities/#MedicalResidencies @SenFettermanPA @SenMcCormickPA @RepMeuser @USCIS @SecMullinDHS @Sonderling47 @SecKennedy @SecRubio.\nhttps://t.co/KJSRXlLvzS https://t.co/6WgWXzu64M,en
Rosenrot2026,@wjCUUVUzJmSAORz #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina\n@PETA\n@HSIGlobal\n@fourpawsint\n@AnimalsAsia\n@amnesty\n@hrw\n@whyyoutouzhele,qme
Rosenrot2026,@PhaedraXTeddy #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina,qme
eAnKt8fTsTThYG3,@WarrenVsCCP @LisaJones37798 #boycottchina https://t.co/km51Bz8J3n,qme
nimernight38961,#China\n#MadeInChina\n#BoycottChina\n#ChinaTravel\nChina doesn't have Animal protection laws❗❗❗❗❗❗,en
fish_puddle,"@Samesamaalways @nimernight38961 They are ugly psychopaths, monsters!!! #BoycottChina‼️",en
RamirezVelhagen,#BoycottChina and its culture of cruelty and brutality,en
endimione_c,@animals_cn @lara_ugolini #BoycottChina,qme
eAnKt8fTsTThYG3,@Samesamaalways #boycottchina https://t.co/1x8irdBEc2,qme
8piratez,#BoycottChina fuck china,en
justice_alanyu,🔴 #boycottmangotv #boycottchina #boycottnetflix \n\n#JusticeforYuMenglong #YuMenglong #YuMenglong于朦胧 #YuMenglongFallingEvent #AlanYu #HumanRights #HumanRightsViolations #CCP #CCPOUT #Beijing #798artmuseum #amnestyinternational #XiJinping \n@hrw @amnesty @UNHumanRights https://t.co/OCKhIqEQvq,qme
JuanyManuela1,#BoycottChina,qht
JuanyManuela1,@PhaedraXTeddy @Cloudflare #BoycottChina,qme
ModaBella15,@NickLoconteJr Shame on #China unable to educate its population #BoycottChina https://t.co/Y3y2j9k7dK,en
eAnKt8fTsTThYG3,@LisaJones37798 @MoveTheWorldUK @MoveTheWorld @USA_China_Talk @MFA_China @NickLoconteJr @govbrazil @EUCouncil @EmmanuelMacron #boycottchina https://t.co/ECYxMLhnBc,qme
NickLoconteJr,"""This is the bullshit that #CatAbusers in #China spread around to justify torturing them to death - \""invasive species",2048585384523698393
NickLoconteJr,These subhumans are trash. All the worst traits of mankind. #China #BoycottChina #AnimalCruelty,en
NickLoconteJr,"""\""Cats are pest\"" asshole is back in yet another form. Send him back to the sewer please\n\n👉@ d21te8c5jn98132 💩🇨🇳💩\n\n#China #AnimalCruelty #BoycottChina #StopChinaCatTorture https://t.co/Zb7zmvdONZ""",en
nimernight38961,#China\n#MadeInChina\n#BoycottChina\nCats and Kittens in #China are in constant danger. This country doesn't have laws to protect Animals from horrific torture for Profit and porn!,en
NickLoconteJr,When is this shit gonna finally stop?  😡💩🇨🇳💩 #AnimalCruelty #BoycottChina,en
NickLoconteJr,"Boycott this sadistic nation. Don't buy products from them, don't travel there, shun them and let them know why #BoycottChina #AnimalCruelty",en
NickLoconteJr,#China is the world's abomination. It's the epicenter of #AnimalCruelty which spreads to other countries like a plague #BoycottChina 😡💩🇨🇳💩🇨🇳💩,en
MarkRob84,"The sacred deer of Nara are revered by the Japanese, yet these disrespectful, filthy, cheap Chinese tourists trample tradition and show zero respect for living heritage. 1/3\n#BoycottChina  #Nara #Japan\n\n@ECOAlphaTango @ev_edward2 @vagitableunited \n@Thenina77  \n@animals_cn https://t.co/P8oV2rSreZ",en
