author,body,datalegacylang
BruceWayne_42,#ChinaVirus,qht
BruceWayne_42,#ChinaVirus,qht
theo_69_holmes,"""@IreneMavrakakis This is why it was so convenient for Covid-19 to have \""existed\"" during the @POTUS45  Administration:\n\n\""In the long-term the only solution is political",false
BillyGrzanka,"@ReclaimD1 I totally understand! It fucking sucks when people like us bust their asses can’t get ahead. Seems like we’re just living our lives \n just to barely survive. I’ve owned my small business for almost 10 years, between the #Plandemic #ChinaVirus now the STUPID #IranWar it’s fucked",en
BruceWayne_42,Another #ChinaVirus silently swallowing the Earth.,en
BruceWayne_42,#ChinaVirus getting exposed,en
BruceWayne_42,Another one bites the Fire #ChinaVirus,en
BruceWayne_42,There are hundreds of videos of Chinese EVs getting fire even though China has a Great Firewall. Imagine the real numbers had there been no firewall.\n\nYou can't trust Chinese EVs. #ChinaVirus,en
BruceWayne_42,Chinese Propaganda getting busted everyday.  #ChinaVirus,en
BruceWayne_42,#ChinaVirus,qht
BruceWayne_42,The Real #ChinaVirus,en
BruceWayne_42,#ChinaVirus,qht
BruceWayne_42,People are now waking up to real #ChinaVirus,en
BruceWayne_42,#ChinaVirus,qht
zeomonkey,China Is Covering Up A New Outbreak?\n\nMillion People Vanish?\n\nFuneral Homes Overflowing?\n\n#chinaoutbreak #chineseoutbreak #chinavirus #virus #china\nhttps://t.co/fqzUBBTTNr,en
rjerke_snp,@TaiwanFreedom89 #chinavirus  china = evil.,es
MerMaid15882072,@PNWConservative #ChinaVirus,qme
real_bossdog22,https://t.co/5yexpAyLO3\n\nif its #whiteprivilege #whitesupremacist = mob/mafia\nif its #chinavirus #kungflu #ricerockets = triads/yakuza\nif its #ruca #illegalalien #undocumented = cartel/ms13\n\nget it right #nytimes,en
MpscAspirant9,https://t.co/AtvjbbRWE4\nBe aware world 🌎 ⚠️\nAnòther possible virus going to come from China  After Wuhan Virus as usual 🇨🇳🤡\n\n#ChinaVirus \n#WihanVirus \n#China\n#Iran\n#USA\n#Israel\n#Hormuz\n#Virus,en
drac1o,@RTSG_News El mayor aporte #ChinaVirus https://t.co/pbprAwOL2K,es
UnDer_UD,ChinaVirus #ChinaVirus https://t.co/TuUIlHpGiB,lt
Real_DennisL,"Do people remember how the Democrats politicized the pandemic, also known as the #ChinaVirus? #FNewsom is doing it again...",en
deeJseg1,"Keep trusting Western medical care, even though #CCPChina #wuflu #chinavirus is the problem! Hello! I’d like to invite you to our Space: Healing &amp; Healthcare 🚑⛑️🏥. It takes less than a minute to join our community, @FundItSocially 🔥. https://t.co/ycpfMleq0L",en
jiffyman9,About like them mask and 6 ft stickers during #ChinaVirus,en
stevosplace01,"There is always 1 nong who can't understand alot of people have lived in china, it's not just Chinese.\n5 years later, they are still trying 2 convince the world, that covid didn't start in china when the world knows China is the home &amp; maker of the 🇨🇳 virus\n#WuhanFlu\n#ChinaVirus",en
AntiWokeWar_,Trump has decided to stop using the term 'China Virus' out of respect for China. He previously referred to COVID as the 'China virus' but acknowledges it is accurate. #Trump #COVID #ChinaVirus 🔴🇺🇸 https://t.co/g1NHm4ZAHP,en
IronIndianRider,#NeverComply #maskholes #ChinaVirus #WuhanFlu #fukFauci,qht
BruceWayne_42,That's how Chinese Propaganda works. They only tell their side of the story.\n\n#ChinaVirus,en
chin80,Err.. #ChinaVirus,und
mathmanwithjava,#chinavirus,qht
erzhngswndrlnd,"Danke für Euch 1.300 Follower. 🥰\n\nUnd das für nen Account unter schweren Bedingungen :\n\nErst gebannt wegen #NetzDG , dann immer wieder eingeschränkt und kurz gesperrt wegen #coronavirus = #ChinaVirus und jetzt trotz Bezahlung weitaus weniger Reichweite als beim alten Twitter .😅 https://t.co/jzNPmdex8R",de
CoachOkay,Follow the Science! Happy to say I too am un-vaxxed for the Wuhan Virus known as #covid #ChinaVirus,en
alex_091209,QoTD: Had China and Germany intentionally coordinated to interfere the 2020 US election via the #chinavirus outbreak in Wuhan? \n\nNo amnesty on them and hold them accountable. \n\n#china #germany,en
jiffyman9,Praise the Lord for that safe and effective #ChinaVirus shot! @DrBenTapper1,en
alex_091209,China virus docs are released amid the trade war. Do you think whether it’s coincidence? \n\nIt’s just the beginning..\n\n#chinavirus #tradewar,en
BostonIsupk,Why no action against the Wuhan lab after the COVID-19 outbreak? Some question if focusing on domestic issues means overlooking accountability for the virus's origin. #ChinaVirus #Accountability https://t.co/giKxhtTHZr,en
WIONews,China Virus: Fresh Cases Of China's HMPV Virus In India\n\nWatch the full video at https://t.co/L7lDU56nhr\n\n#china #hmpvvirus #chinavirus #WIONOriginals,en
cvhene,"We moeten ons niet voorbereiden op 'de volgende pandemie', we moeten zorgen dat we de laboratoria onder controle brengen. #covid19 #corona #chinavirus https://t.co/Q8BKxNnXoK",nl
CarpioJudge,Covid-19 lawsuits.  \nThis is where &amp; how it should be done: \nSue CCP where its assets are &amp; get compensated.\n#wuhanflu #chinavirus #Chinaflu #covid19,en
MonkeyTrav,Another virus from China is spreading around the world\n\n#ChinaVirus\nhttps://t.co/GxPGlYIz0u,en
ctcoff99,If only we had had people 5 years who were trying to make this known.  🙄\n#ChinaVirus,en
mWmADxnh0WRnPEP,#chinavirus\n#china,qht
Aureliu44088888,#Chinavirus?,qht
lostNlogic,"Daaaamn. \nThe White House hittin back at these Chinese AI meme videos! Lmao 😂\n\nLFG 🇺🇸\nThese Chinese folk,\nDon’t want no smoke💨\n \n(No offense intended to Chinese people, I’m not racist… Don’t even start with me Felicia)\n\nBUT #Chinavirus 👀 thooo!?",en
QUEENOFTHEJUICY,#ChinaVirus #TrumpShot @POTUS @USA_China_Talk @ChinaScience\nhttps://t.co/5QFYXGRL0C https://t.co/KH6RclZijf,qme
Crushian_Reborn,🙈😂😂😂Bundesnachrichtendienst jednak uznal wypadkiem ucieczke korony z laboratorium w Wuhan 🙈😂kanclerz utainil akta  ( 🙈🙈🙈)  czyli jak zawsze wszyscy mieli racje ale nazywano ich nieladnie- w tym Trump #ChinaVirus,pl
AndBeyondz,#ChinaVirus,qht
SystemDebunked,DeepSeek leaked user data in addition to purchasing Nvidia chips in a criminal way.\n\n#DeepSeek \n#IA\n#chinavirus https://t.co/BjuFgZfFfR,en
jiffyman9,#ChinaVirus lockdowns,en
jiffyman9,That sucked when @joebiden locked the country down during #ChinaVirus,en
jiffyman9,Panetta hasn't got a clue what hes talking about! How did all that free oil during #ChinaVirus work out! Trump completely filled the strategic reserves!,en
rhenning45,#STFU... you lost all credibility when your party destroyed people's careers for refusing to take the #ChinaVirus Covid serum!!\n\nFollow the FACTS in regards to Autism rates.\n\nFOLLOW THE SCIENCE!!\n\nGet out of the pockets of #BigPharma !!\n\nYou should resign NOW!!\n\n#GodBlessRFK,en
IronIndianRider,#WuHanFlu #ChinaVirus #fukFauci #maskholes,qht
doug_maga,#Fauci has to go down for this!  #CCP #Chinavirus killed millions!,en
rhenning45,"""How many military personnel were fired because they refused the #ChinaVirus Covid \""Vaccine\"" injection ???\n\nWhich the serum was proven to be totally ineffective and dangerous to some people!!\n\nDid they get any hugs??""",en
AchoWendyR,"COVID-19 vaccination has decimated the US population by increasing deaths and decreasing births #ChinaVirus COVID-19 vaccination was linked to almost 70,000 fewer US live births in 2023 @RapidResponse47 @StephenM @elonmusk \n\nhttps://t.co/OzfXmc1pbw",en
CcpReporter,"As #COVID19 Continues to Spread in China, Doctors Anticipate Major Peak in July #CCP #ChinaVirus https://t.co/ZFBp5uq4A5",en
SolomonYue,#Chinavirus,qht
Yatti4201,#covid #chinavirus #clotshot,qht
IronIndianRider,#FangFang is about to go #Bangbang #ChinaVirus #MCGA,en
KshitijPersonal,Any photograph? Proof? At least screenshot from video game.\n\n#Pakistan #PakistanIsATerrorState #ChinaVirus,en
Conboytoy,"I totally agree 💯. Ever since the #chinavirus . I  don't trust 'medical professionals '. My dad was right, it's all about $$$$$, big pharma and even little things like optometrists and audiologists, there bosses force the so called professionals to lie and say you need glasses",en
SRather49475,"257 Covid patients, 2 dead.\n\nCovid spreading in India, AGAIN\n#COVID19 \n#india\n#chinavirus",en
rhenning45,It didn't prevent the spread of or keep anyone contracting the #Chinavirus!!\n\nThat's a fact.  \n\n#Purebloods are not anti-vac... we were anti-covid serum!!! Also anti-goverment medical mandates!!\n\nMedical #FREEDOM,en
jiffyman9,"F,D,A,E,B,C. B Fell way down due to #ChinaVirus!",en
jiffyman9,"""You know how many of them so called \""Doctors\"" with a license didn't have any problem cashing them rebate checks for that Clot Shot #ChinaVirus shot! You can keep the medical license out of it",true
