author,body,datalegacylang
tony_knows2222,#FuckChina #FuckNio,qht
VetWarrior76,BOOM! 🇺🇸👊🏻🇮🇱\n\n#FuckChina,en
J_Tower_9569,If you support this shit unfollow me now.  Slant eyed mother fucker. If I had an address I would be taking a plane ride and filming some of my own shit if you get my drift.  #FuckChina,en
tony_knows2222,That's because fucking #CHINA runs rampant in #Africa with funding poachers to kill rhino and elephants for ivory tusks and rhino horn. African countries look the other way when getting paid off. #FuckChina #Poaching. #Tariffs @AfricaFactsZone @_AfricanUnion @UN @PoachingPrevent,en
David3197167761,#fuckchina,qht
David3197167761,Bring em down and #fuckchina,en
jayisinparis,Thankyou TikTok for showing me where I went on my 2nd date with my ex with our song playing as the sound. Love that. Needed that. #fuckchina #lebron,en
Alsobwaere,China muss man bekämpfen. \n#FuckChina,de
pragmaticvegan1,Fuck China. \n\nResearch where your goods &amp; products come from. Look at the components inside your electronics. \n\nTake the time to ensure you buy as little from China as possible. Do not support a nation that glamorizes torture. \n\n#FuckChina,en
patriot_now_kr,"중공인들은 넓은 영토를 자랑하면서, 왜 늘 밖으로 기어나가려고 할까? 바퀴벌레마냥? #ccpOUT #FUCKchina https://t.co/uPC4nbIQHS",ko
Offdutyhooker,You know who censor blood? China.\n\n#fuckchina,en
Upnustan_Normal,遅いから要らん。\n中共の商品は買わねえよ\n\n#FuckChina\n#FreeTaiwan,ja
Alvand1A,FUCK CHINA 🇨🇳 \n#FUCK_CHINA\n#FuckChina,en
Alsobwaere,Fuck China. China muss man bekämpfen.\n#FuckChina,de
judyldaynl,I dont get why any Canadians would be upset over this.   Tell me why and leave Csnada out of this mess that the US has created. #FuckChina,en
bloom_mari,@Samesamaalways @aka_matthias88 #fuckchina #fuckccp #fuckchinese #nukechinanow\n#中国人を日本に入れるな,qme
pragmaticvegan1,I openly support use of nuclear warheads on China; eradicating every last human in that country then letting non human animals repopulate the country. \n\nChina is beyond saving. #FuckChina,en
maquisap68901,Somebody sink the shit outta that #FuckChina tofu-dreg carrier......,en
Af1Al1776,Reports are coming out about Japan and China I can assure you living here and the people here are not worried one bit. \n#FuckChina,en
JasonDJolley,Starting a list named 'Fucktard China BOTS' to organize and track all the China bots and fanboys. Going to be a long list and a full time job. Should be fun. #FuckChina #FucktheCCP,en
David3197167761,#fuckchina,qht
Upnustan_Normal,#FuckChina\n#諸夏主義,qht
maquisap68901,#FuckChina Japan will become a powerful nation again to extinguish the defective Chinese military forces along with the United States and Philippines.\nUS ally upgrades aircraft carrier fleet to counter China threat https://t.co/lyBPpPK991,en
SaintVexon,Whole lotta gang shit going on #FuckChina https://t.co/BMiXCFZDaH,en
brandonwho333,When will the world say enough is enough???? Do cat lives not matter ? #boycottchina #fuckchina #china,en
drivandalism,"Canada should have put the Chinese ship on the bottom.\n\nOh well, there will be other opportunities.\n\n#cdnpoli #fuckChina",en
JohnnieOil,"so WTF is @CBCNews now getting paid by #China #CCP to run pro China kiss ass stories? lead story on the tax payer funded website about China! #FuckChina #FuckCBC  wouldnt surprise me in the least, @CBCNews has zero integrity, zero ethics zero morals but a 100% shithole",en
raven_mav2004,Cut China off. End all trade. And kick every Chinese citizen out of the US!!!\n\n#FuckChina!!! https://t.co/pDfcvToidk,en
SaltyGoblin73,@zundamotisuki Yup that way china and North Korea can think twice about any aggression towards Japan #FUCKCHINA,en
boredjake,Jon AG (AsianGuy) on YouTube is reporting salt typhoon of China may have stolen gold from us stocks via hacking.   Causing a bank to fail.  #fuckchina #cme #salttyphoon\n🏅🌟🏆🥇⭐️👑,en
manthoyianni1,"""This is #TheRealChina and the #chinese \""culture\"" 🤮🤮🤮\n#FuckChina\n#BoycottChina""",en
Bea08110,was für geistesgestörte MONSTER\n#FUCKCHINA 🤬😡😡🤬,de
Bea08110,es sind seelenlose widerliche Monster\n#fuckchina,de
11_ochavez,#fuckchina,qht
JohnnieOil,"More proof #China #CCP are no one’s friend, they are the virus infecting &amp; destroying the planet - wherever they go whatever they touch they destroy #FuckChina #Xijingping should stand trial for crimes against humanity",en
RocPic,Fuck China - Acky featuring Teto Kasane #FuckChina #Xitler #philippines #WPS  https://t.co/SgLyDNcuEL via @YouTube,tl
HoyooBella,now this reminds me of their unreleased bromance since decades #FUCKCHINA https://t.co/dwwQWkirlp,en
KatarHol5,Like I've been saying for years: #FuckChina!!!!,en
1776_13,#FuckChina 🖕🏻\n\nThat’s it. That’s the post.,en
G37BNRZO958754,叫ぶだけの馬鹿女\n道徳もクソもない太った男\n14億のゴミが棲む国、中国\n#FuckChina,ja
daiprivate,🇨🇳はこの世から失せろ\n#fuckchina,ja
Josh445MAGA,"""It worked TWICE!\nBut the \""made in China\"" label means but 10 times before realizing it's China crap that was designed to fail.🤬\n#FUCKCHINA https://t.co/EwttVMa4DK""",en
xDevG19,#FuckChina\nShame on china\nChina is terrorist country,en
StingerChan,Why is the @LittleLeague World Series calling Taiwan “Chinese Taipei”? Are you that afraid of China and the CCP? Taiwan is independent country and should be recognized as so. #FuckTheCCP #FuckChina,en
David3197167761,#fuckchina,qht
JRodFanClub,The nationality/The face\n\n#fuckChina btw https://t.co/I3SrFXtoHO,en
mpkmourao,"Bom dia galera, ontem dia 10 intervenção nas redes sociais e nas ruas Stop Yulin Festival. São abatidos mais de 15 mil cães na China para gastronomia do festival que começa dia 21 à 31 de julho. \n\n#fuckchina #stoptorturecats https://t.co/5EYOBY64co",pt
manthoyianni1,#TheRealChina...the shithole of earth\n#FuckChina\n#StopChinaCatTorture\n#StopChinaAnimalCruelty\n#BoycottChina,en
Hamphield,@Huskock144 @FutureStacked It's a China trash like 100% of what this fucking fascist regime makes \n\n#FuckChina🖕🏻🇨🇳,en
DreamingDavey,Be as racist as fucking possible and don’t listen to any woke leftist DEI agent or cooperate retard billionaires telling you any different! 🖕🏼 #MassDeportationsNow #FuckChina #FuckIndia #FuckAfrica #FuckIslam everyone get tf out of my country that isn’t white and English! 🖕🏼🖕🏼✊🏼 https://t.co/z3LZhDQ1gK,en
ACanadianInEx,#FuckChina #FuckTheCCP,qht
legsluquis,"#FuckChina it’s kitten torture videos, dog and cat meat trade, pointlless FAKE medicine BS! That costs tigers and donkeys lives🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬",en
11_ochavez,#fuckChina #BoycottChina #welcometoChina #cats #animalabuse,qht
whitefreedom7,THE CHINESE GOVERNMENT IS COMING FOR US AND OUR CHILDREN WE NEED TO PRESERVE OUR AMERICAN LIFE BY KICKING OUT ALL THE COMMUNIST #fuckchina,en
manthoyianni1,#TheRealChina\n#FuckChina,qht
Bea08110,C H I N A \n😡😡😡😡😡\nwas für widerliche geistesgestörte  Barbaren \n#fuckchina,de
Upnustan_Normal,アジア人とか言う民族的にも言語的にも文化的にも根拠がない意識やめろアホ\n#FuckChina,ja
David3197167761,#fuckchina,qht
RealAndyFredes,#FuckChina  #AmericanMilitia https://t.co/HPUD8u2RNV,qme
CSeel19247,#fuckchina https://t.co/3dcM56Rnx7,qme
l3eL11Wei9STco3,میخان توریست چینی بیارن بگردونن\nالبته به کص ننشون خندیدن🤣🤣🤣\nهر جا توریست چینی دیدین انقدر بزنین تا خون بالا بیاره\n#FuckChina\n#مرگ_بر_کلیت_و_تمامیت_جمهوری_اسلامی,fa
maquisap68901,China Coast Guard Cutter Nearly Hits Philippine Patrol Vessel Head-On https://maritime - #FuckChina https://t.co/n7aYbkj04H #maritime #maritime-news,en
DreamingDavey,"Aah yes let’s partner with China and by all means give them parliamentary status to invoke more communism amongst Canadians. Nah full on revolt, heads on sticks! Fuck these C31nks! 🖕🏼🇨🇳 #FuckChina #FuckCanada #51stStates",en
Upnustan_Normal,中華料理と本場の料理は全く異なるもの\n日本人が中華料理屋で食ってるのは水餃子じゃねえだろ\nそして肉じゃがは日本料理な。\nこのクソ泥棒がよ\n\nてかお前日本嫌いなら日本の安全な水道水を飲むんじゃねえよ\nそして使うんじゃねえよ\n#FuckChina\n#FuckThotonAkimoto,ja
JILL69693,More Japanese flags❗❗❗\n\n#BoycottChina \n#Fuckchina\n#japan #japanpride https://t.co/x2KSNPl5IE,en
Ace_Frijole3,Hmmm as long as China isn’t accosted or molested right? #FuckChina #FuckIsrael #FuckYouToo,en
PulmonDeSusan7,"Solo recordarles que ESTOS hijos de puta soltaron un arma biológica en el mundo (COVID-19) para frenar la presión financiera que ejercía Trump contra Ellos en su 1er gobierno. \n\nAsesinaron a 25 millones en el mundo. \n200,000 en el Perú 🇵🇪. #FuckChina \n\n https://t.co/11VgFsWVmk",es
VeganMuppet,#fuckchina,qht
JILL69693,More Japanese flags❗❗❗\n\n#BoycottChina \n#Fuckchina\n#japan #japanpride https://t.co/uGfvbPH2wU,en
Upnustan_Normal,#FreeTibet\n#FreeEastTurkestan\n#FuckChina\n#諸夏主義,qht
ttbaldy,There are no words I can express for how much I loath traitors to this country and to western society in general. #FuckChina #FuckCarney #FuckTrudeau #TraitorsToCanada,en
RealAndyFredes,🖕🏻🖕🏻🖕🏻  #FuckChina 🖕🏻🖕🏻🖕🏻,qme
David3197167761,#fuckchina,qht
RealAndyFredes,#FuckChina,qht
DarshDevanand,Have we all just forgotten about Tibet? I see people crying for Palestine and Ukraine all the time on this app. Especially viral tweets.\nFREE TIBET! ❄️🦁\n#freetibet #fuckchina,en
ApsyAngst,#FuckChina,qht
DreamingDavey,"Dipshits and fuckheads, we don’t want this Chinese shit! #FuckChina #51stStates",en
JILL69693,More Japanese flags❗❗❗\n\n#BoycottChina \n#Fuckchina\n#japan #japanpride https://t.co/aCwJjwCoz3,en
MaximusMcSween,@PapiTrumpo Hey Trump. What happened to building manufacturing in the USA to lower costs?  And Prices. #FuckChina,en
Go_HAM_EDA,Make it make sense! #FuckChina 🇺🇸💪🏾,en
Hamphield,"@Huskock144 @FutureStacked It's disgusting scumbags like you, praising this socialist dystopian nightmare \n\n#FuckChina🖕🏻🇨🇳",en
AbdulKPapa,Free Tibet #freetibet fuck china #fuckchina,en
DreamingDavey,"Pure communism with weak women leaders, trumps strong enough to take on the world if he has to, and we will BACK HIM! ✊🏼 #FuckDenmark #FuckCanada #FuckChina #51stStates ❤️🇺🇸",en
DreamingDavey,"Bunch of blacks and jheets and Chinese with guns 😂 that’s a joke, arm the immigrants, disarm the people. Commi bastards. #FuckAllCADGovt #FuckChina 🖕🏼🇨🇳 https://t.co/ohRfFjoLfd",en
ChaosActual2025,Remember Kids...\n\n#FuckChina --&gt;\n\nhttps://t.co/F9HhrUHZ4z,en
titan_koriander,#FuckChina,qht
RealAndyFredes,#FuckTikTok  #LetItBurn  #FuckChina,qht
drivandalism,"So that is quite a critical excursion @MFA_China had over the past few days. The dumb fucks went totally nuclear and revealed their ugly, violent, aggressive imperialist faces. They are repulsive. I hope BRICS have taken note. Don't accept their money or 'friendship'. #fuckChina",en
drivandalism,"""More threats from ugly, imperialist #China.\n\nDo you think this makes the 22 million who live in Beijing feel more secure? You do realize that #Japan does not stand alone, right? \n\n\""Communist\"" (lol) China must first repent for all its crimes against its own people.\n\n#fuckChina https://t.co/gnF5Z80Ixu""",en
drivandalism,"Run these shitboxes off the roads. Litter the ditches with them. \n\nThis is the time for all us Fucks In Trucks to come together, and do something good and constructive for the country.\n\n#Canada #fuckChina #cdnpoli #onpoli",en
SuperGelClub,"You dumbasses keep fallin’ for that Labubu bullshit! Wang Ning’s in the middle, laughin’, while China’s media empire milks your stupid wallets to billions! #FuckChina #LabubuScam #labubu",en
titan_koriander,Yes #FuckChina! But do something with your Islamists migrants!,en
DreamingDavey,We don’t want anymore fucking Indians inside our country Carney! You communist WEF treasonous Pedo Pricks! 🖕🏼🇮🇳💩 #FuckAllCADGovt 🖕🏼🇨🇦 #FuckIndia #FuckChina #51stStates  #AnnexCanada 👆🏼 https://t.co/shF72IdhAP,en
maquisap68901,#FUCKChina Coast Guard Cutter Nearly Hits Philippine Patrol Vessel Head-On https://t.co/xAwltu2Hro #maritime #maritime-news,en
MagicIris27,"Идея глобального мира была изначально провальной. Не нужно было тянуть отсталых из феодализма в капитализм. Сидели бы себе за железным занавесом на болотах, рис выращивали и всё было бы тихо. #FuckChina #FuckIndia #FuckRF",ru
maquisap68901,"""#FuckChina \""Esto es nuestro\"" \""Atin ito\""\nhttps://t.co/xSOSnMOose""",es
maquisap68901,#FuckChina\nhttps://t.co/54NARp44tv,qme
manthoyianni1,This is #TheRealChina 🤮\n#FuckChina\n#StopChinaCatTorture\n#StopChinaAnimalCruelty\n#BoycottChina,en
Bea08110,Hundefresser in China\ndiese Monster haben keine Seele\n#Fuckchina,de
Bea08110,die sind einfach geisteskrank\n#fuckchina,de
Valdemar_Estel,"Civilized countries are the ones that don't rush to attend every stupid Chinese forum, created only to enable Chinese officials to steal as much allocated financial resources as possible. \n\nDon't encourage corruption.\nThis is corruption! \n\n#FuckChina #FreeHongKong https://t.co/z2LAXZk6fM",en
maquisap68901,#FuckChina - U.S. ally looks to buy Chinese J-35 stealth jets https://t.co/WskOKzn8ar,en
Bea08110,das hier machen CHINESEN\nes sind erbärmliche MONSTER ohne Seele\n😡😡😡😡\n#FUCKCHINA,de
Ace_Frijole3,Either a Haitian Khünht did Voodoo on me or these fuck’n Bubble-Tea’rs unleashed another COVID strain #FuckChinA #FuckXi #FuckFauci #FuckHaiti #FuckSatan #FuckTylenolSevereFluMedication,en
RadioCarne,#FUCKCHINA\n#BOYCOTTCHINA\nNO COMPRES MIERDA #MADEINCHINA\n#DERECHOSANIMALES \n#ANIMALRIGHTS,es
Hamphield,"@Huskock144 @FutureStacked Fuck off, disgusting pooh's d sucker \n\nThe fascist regime of china is the world's enemy \n\nGo there and rot \n\n#FuckChina🖕🏻🇨🇳",en
Mithrandir_1313,#FuckChina \n#FuckXiJinping \n#PhillipineCoastGuard https://t.co/Yv50zPxYH4,qme
Biarnes72,Et pis mets un emoji cochon à côté du drapeau nippon sur strava et tu ne seras banni à vie du pays du soleil levant #FuckChina,fr
legsluquis,Monsters! #FuckChina @XHNews @USA_China_Talk @PDChina @MFA_China @Echinanews @ftchina,en
Hamphield,"@insaneraphael @FutureStacked Yes, and is a good thing \n\n#FuckChina🖕🏻🇨🇳",en
legsluquis,@bapak7189 @PhaedraXTeddy @ECOAlphaTango @yuceltanay53 @BanEatingDogs @Dogsarethepure1 @DogsofYulin @TibetPeople @SkogJohansen @NickLoconteJr @Mr_SuchCheese @Caterobin24 @CarlaCo92330391 Atrocious! Horrific!! Abusive!! Heartbreaking 💔 💔💔💔💔💔💔\nMonsters!! #Jishan #FuckChina,en
JasonDJolley,Ban them all. #FuckChina,en
juanMauriciofu6,#fuckchina \n#fuckrussia,qht
legsluquis,#FuckChina #Shanghai nothing but absolute trash!! Don’t even  deserve to breath the air to live! I could never understand why some Chinese have it in themselves the need to brutally hurt innocent dogs and cats! They completely undeserving up this amount of agony @shanghaidaily 💔,en
legsluquis,#FuckChina #endkittentorturevideos,qht
realSaltySeaDog,#fuckchina 😏 https://t.co/LkzWvQDRbx,qme
