author,body
MUSTANG,#BuyLocal \n#BuyUSA\n#StopChina\n\nStop buying Chinese stocks\nSTOP funding a government that wants to destroy our way of life. \n\n#Amazon\nNeeds to tell people where the product is made &amp; coming from\n\n#Government\nStock using China to pump their prescriptions to US citizens.\n\n#Fentynal
Free Tibet,"Beijing claims to bring 'development' to Tibet, but what have we gained? Surveillance, arrests, stolen land, and destroyed monasteries. This is not progress—it’s cultural genocide! #SaveTibet #StopChina"
kinnoro motoyuki,"Look at the map of the so-called South China Sea, technically it is wrong to call it a South China Sea, rather it should be called the South East Asian Sea because it shares boundaries with those countries. 1/4\n#StopChina \n@JP_Quest @skyscraperfff  @TommyBaxendale @JILL69693 https://t.co/mjxAeUywF1"
Bhasundara,"Beijing built walls, not bridges.\nTibetans don’t want digital surveillance, they want dignity.\nNo algorithm can predict a revolution that begins in the soul.\n#FreeTibetNow #StopChina https://t.co/lXod5xV4r8"
titi,#BoycottChina\n#MadeinChina\n#StopChina
KaigaiSumi,"世界経済に大打撃:すでに懸念され始めた🇺🇸🇮🇷イラン紛争ホルムズ海峡の次🇨🇳中国による台湾海峡封鎖 #StopChina\nそして&lt;台湾有事に米軍は介入しないだろう&gt;😱Romuald Sciora, IRIS\nBFM Business📺France https://t.co/QTfJNK70v4"
Chinese Pulse,"Beijing pretends to “champion free trade” in Lesotho while flooding poor nations with loans they can’t repay. Same old tactic: offer help, then own the resources &amp; ports! #ChinaAfrica #DebtColonialism #StopChina\n\n https://t.co/d7kIndYYid https://t.co/3wwXxRx1iv"
Chinese Pulse,"The Chinese regime’s repression has no borders. From East Turkestan to Europe, silencing voices that speak for Uyghurs only exposes Beijing’s fear of truth. The world must stand with the victims, not the perpetrators. #StandWithUyghurs #HumanRights #StopChina"
Zaroon Khan,"Why’s the CCP flag waving at the #NoKings rally? \n\nOhh, My bad—China’s orchestrating it all, stoking Middle East wars and undermining U.S. democracy from within. The dragon’s playing a cunning game! #StopChina #SayNoToWar #IranvsIsrael \n@NoCCPGenocide \n@hongkongishere https://t.co/bTfE9MSUku"
Be2BeClub,"Pendant qu'on voit la petite chicane entre le Canada et USA.\n\nLa société minière #AlliedGold basée à Toronto a accepté cette semaine une prise de contrôle en espèces de 5,5 milliards de dollars par la société chinoise #ZijinGold du PCC !! \n\n#stopchina #stopppc #stopislam #Canada https://t.co/2I1wU2tNVn"
Lim Kong,The Chinese regime’s use of AI for cyberattacks is a sinister tool of  control and oppression. We cannot allow their digital warfare to  undermine global peace and security. #StopChina
Muhammad Amirul,"Internal matter of China? how? Taiwan is an independent sovereign nation, and China is different. How can you claim such irresponsible intention, even if it were not meant seriously? 1/3\n\n#Taiwan #StopChina #BoycottChina \n\n@HKokbore @Maggie9993 @No_More_China https://t.co/b49hptwx0R"
Stanzin,"China’s Dam Diplomacy!\nBulldozing #Tibet’s ecology with a $167B mega-dam, Beijing plays god with Brahmaputra, risking millions of lives in India &amp; Bangladesh. \n#StopChina #FreeTibet\n\nChina Advances $167 Billion Tibetan Mega-Dam Despite Risks\nhttps://t.co/nWPc9HLcBq"
二代目うんとこ師匠,#worldnews\n#stopChina
Bhasundara,"China is erasing Tibet’s culture—forcing Mandarin in schools, banning Buddhist teachings, and making Tibetans strangers in their own land. This is cultural genocide! 🚨 #StopChina https://t.co/2VKxlopJde"
titi,Putos chinos retrasados mentales están bien idiotas 😡🇨🇳😡😡🇨🇳😡\n#Boycottchina\n#Madeinchina\n#Stopchina
Dave Spurlock,.We can protect Qatar (who is a terrorist haven for the likes of Hamas leaders and Muslim Brotherhood) but we can’t issue a similar position on Taiwan?  @POTUS please formally recognize Taiwan as an independent Nation! #StopChina
titi,Horribles desde chiquitos malditos chinos \n#Boycottchina\n#Madeinchina\n#Stopchina\n😡🇨🇳😡🇨🇳😡🇨🇳😡🇨🇳😡🇨🇳
47 is in the house!,Chinese academics at top U.S. schools and labs were part of CCP’s infamous Thousand Talents Program\n#StopChina https://t.co/DT0M5biyrU via @JustTheNews
titi,Malditos porque tienen tanta pinche ira y la desquitan con los Animales los hdspm a lo mejor porque están horribles los malditos chinos 😡🇨🇳😡🇨🇳😡🇨🇳😡🇨🇳😡🇨🇳\n#Boycottchina\n#Madeinchina\n#stopchina\n#XiJinping
Muhammad Amirul,"China is trying to interfere in Taiwan's democracy, Reuters reports. China should stop interfering in the internal affairs of Taiwan. \n\nWhat if Japan interferes in the appointment of the CCP leaders in China? 1/3\n\n#StopChina #Taiwan \n\n@HKokbore @Maggie9993 @No_More_China https://t.co/ZKNlbUL53x"
titi,#StopChina\n#MadeinChina\n#Boycottchina
Grito Animal Rio de Janeiro,"Grito Animal junto com varios outros grupos unidos contra o Festival de Yulin que acontece na China todos os anos entre 21 à 30 de julho, onde são mortos mais de 15 mil cães e gatos para a gastronomia do festival.\n\n#stopyulinforever #stopchina #yulin #stopyulin https://t.co/yHTrl6kSSK"
Dee Enn,"China says it’s combating terror, but Uyghur children locked in orphanages, parents jailed in camps—our culture erased piece by piece. #UyghurGenocide #StopChina https://t.co/JL48uEXAeE"
Bhasundara,Children in Tibet are being separated from families and put into state-run “boarding schools” for indoctrination.\nThis is forced assimilation — and it's happening now.\n#StopChina #FreeTibet https://t.co/v5vhluYWB0
titi,Malditos chinos \n#Boycottchina\n#Madeinchina\n#Stopchina\n#XiJinping
evap,#STOPCHINA\n#STOPRUSSIA
KaigaiSumi,憲法「いらうな」???👈こんな意味不明の書き間違いは日本人ならありえないとワタクシ思うのデス😳\n🇫🇷🗾在住のジャーナリストさま動画👇&lt;多くの日本人が平和憲法改正に抗議デモ&gt;と伝えてらっしゃるけれども\n#StopChina #スパイ防止法 #通名制度廃止 \n#北朝鮮送金禁止 #北朝鮮学校閉鎖 #StopRussia https://t.co/jSZIik58Ov
ACARA,"While China wants to show the world its efficiency in technology, in labor, and by showing that it plants trees, the truth is that it is a country that allows animal cruelty and violence Those who fight for animal welfare and against crime are repressed and threatened #StopChina"
AT_XQ,"🚨 BREAKING: Trump Hits Back at China – “Massive” Tariffs Incoming on All Products Flooding U.S. Borders! 🇺🇸💥🇨🇳\nThis builds on his bold 10% baseline tariffs already in effect, with threats up to 30%+ to force real action.#AmericaFirst #StopChina #Trump2025"
Ling Yun (灵韵),China’s labs = surveillance weapons.\nUS universities = enablers.\nUyghurs = victims.\n#StopChina #UyghurGenocide #HumanRights \nhttps://t.co/miN73u5Akn
ACARA,They weren't born for this.\nIt's not culture.\nIt's not tradition.\nIt's cruelty.\n\nAnd silence kills too. 🐾\n@AdhikaPrapti @AraceliPantoj17\n@PhaedraXTeddy @almanimal2019 @animals_cn\n#BoycottChina #StopChina #StopAnimalCruelty #SeresSintientes #ProteccionAnimal https://t.co/ycoDBqOC4z
Ling Yun (灵韵),Tibetan abbot 🙏 Chogtrul Dorjeten taken away in Qinghai. His school closed. No reason given.\n#StandWithTibet #HumanRights #StopChina\nhttps://t.co/7Y0j6wBcLH
ACARA,"A cat abuser lives in Tokyo, Japan, passing on the information. He's a danger to all cats. \n@samesama03 @samesama4149224 @Alejo_23Esp @AmanthiRan4 @PhaedraXTeddy @NamiKim_DogsSK @EsEstra @NadiaMo33 @FGuardiansJapan @WeAreNotFood \n#BoycottChina #StopChina #stopanimalcruelty"
紫陽花,同意致します。\n侵略者追放✊\n\n#StopCCP \n#StopChina
चेतना उपाध्याय: /Chetana Upadhyay,"Over 1 million Tibetan children are cut off from family, faith, and language in colonial boarding schools. This is not education, it’s ethnic cleansing.\n#StopChina #FreeTibet #GetOutChina \nhttps://t.co/eSC8eSRBW6"
Saad Ibrahim,"The CCP regime has taken mostly men of the society to the concentration camps, while women are trying to keep everything in place, looking after everything. 1/4\n\n#FreeUyghurs #StopChina #Chineseimperialism \n\n@swim_shu @manchuriareview @care_crisis https://t.co/L2p3MvkpAb"
ACARA,"The stupidity of human beings at its finest, people who are trash and should disappear from this world.Then human beings get scared by natural disasters but they forget the harm they cause to others. \n#BoycottChina #StopChina #stopanimalcruelty #stopanimalabuse"
The #AmericanDC,245
ACARA,If this is done by those who are supposed to protect and maintain order.\nHe is nothing more than a psychopath and Chinese society has many torturers and murderers.\nSign the petition and share it\nThis seems to have no end 😞\n#stopanimalcruelty #BoycottChina  #StopChina
titi,Malditos chinos HDSPM todos hablan del petróleo que roba Estados Unidos pero nadie habla de todo lo que hacen los putos chinos que maman todos los recursos naturales por mar y tierra! 😡😡 Y aún así vienen a adueñarse dMéxico con sus negocios\n#Boycottchina\n#Madeinchina\n#stopchina
Tuba elver,"Dünyaya covid saldınız. Binlerce insan sizin kedi köpek yemenizden öldü,lanetliler..\n#stopchina #animalsright #COVIDー19 #eatnodogcat #murder #STOPYULIN2025"
Ling Yun (灵韵),A Uyghur activist who exposed China’s abuses is jailed in New York instead of protected. Deportation risks sending him back into the regime’s claws 🐉 \n#StopChina #UyghurRights\nhttps://t.co/5PtGSHxoFo
Michael J Marsh,"How about we direct our efforts towards non-carbon sources of energy, which exist in the forms of nuclear &amp; water driven generation, and stop with the grifting guilt trip that 'climate change' being caused by middle aged folks driving Suburbans and F250s. #stopchina @elonmusk https://t.co/ZGNl1Jofjz"
ACARA,"What can you expect from psychopaths?\nChina is a country of savages and torturers, where good people suffer hell with the cruelty that animals endure.\n#BoycottChina\n#StopChina #StopAnimalCruelty"
ACARA,"Another little girl was saved from torture in #China, where psychopaths abound.\nThey may have advances in technology, but in values, respect, and ethics, they are backward. They live to torture and murder defenseless and vulnerable beings.\n#BoycottChina #StopChina"
Tuba elver,Zulüm \nStop the china  #yulinmurder #animalsright @stop the killing \n#stopchina
Ling Yun (灵韵),Tibetans in Kashi village protested illegal mining. China responded with door-to-door arrests and torture 😠 \n#StopChina #GoldValley #HumanRightsDay \nhttps://t.co/R2EL11xjfn
Samuel Bell,"A few CCP loyalists, little pink might crumble after seeing just how deeply Taiwan rejects their regime. 1/4\n#StopChina #StopInterference \n\n@celikturkcu @isaac_cychiu\n@massan_jc  @That_isChina @Midnightcause @HKokbore @hongkongishere https://t.co/jFfpKLTXLI"
Alfredo,#Argentina #USA #StopChina
evap,#STOPCHINA
Katie Anderson,"Once again, another provocation by the PLA against Taiwan.\nIncursions, threats, and military drills, this isn’t routine posturing. It’s the slow march toward war. #Taiwan #StopChina 1/3 @HKokbore @TravelGuyAsia @IndoPac_Info @Redphoo1 https://t.co/2uiNKaWo2O"
Siyaset ve Strateji,📌🔴Attığı gol ile Türkiye'nin Dünya Kupası'na katılmasını sağlayan Kerem Aktürkoğlu'nun daha önceki bir paylaşımı gündeme geldi.. \n\n#millitakım #DoğuTürkistan #stopchina #uyghur #uygur https://t.co/DfISHTNlzj
AY- HAN REIS,#stopyulin #stopchina #aanimalabuse
Mark C,THIS IS SPOT ON!! #StopChina\n\nThe CCP Is America’s Enemy—and It’s Time to Act Like It https://t.co/U2A9fzN1Xl via @epochtimes
titi,Chino desgraciado lo vas a pagar\n#Boycottchina\n#madeinchina\n#Stopchina
Müteşekkiriyet,Çin'in işkence kamplarında insanlar inançları yüzünden yok ediliyor. Sen sessizken zulüm sürüyor. #FreeUyghurs #StopChina #DoğuTürkistan
titi,Ni una clase de animalito se salva con estos asiáticos de mierda!\n#Boycottchina\n#MadeinChina\n#StopChina 🇨🇳🤬🇨🇳🤬🇨🇳🤬🇨🇳🤬\nhttps://t.co/Y63iuNIqqw
ACARA,"What I said, people sick with violence, a danger to the rest of the countries and our animals \n#StopAnimalCruelty \n#BoycottChina \n#StopChina \n#AltoChina\n#LaCreacionDeDiosSeCuidaYSeRespeta  #SinViolencia"
ACARA,"Asian networks should be shut down for content about animal torture and murder, which shows a society sick with violence and is full of psychopaths. \nThis is really sickening \n#BoycottChina #StopChina #StopAnimalCruelty #AltoChina"
ACARA,"The torture and murder of animals in China is unprecedented, and the labels used by psychopaths speak volumes about the scum they are.\n#China has no honor nor does it follow the principles of Confucianism.\n#StopChina\n#BoycottChina \n#StopAnimalCruelty"
ACARA,A massive rescue of 300 innocent souls by activists who give everything to save them 🙏🙏🙏\n#BoycottChina #StopChina #StopAnimalCruelty
