author,body,datalegacylang
nasescobar316,Apology Not Accepted. But this was a good lesson to all of the Black Democrats that assume Non-White People automatically “love” you. In a lot of cases\‚ they f*cking hate you. So let us never speak of a “Minority Coalition” ever again. #MassDeportationsNow,en
HillBilly_Baby,"""Lord help us. These \""people\"" have no shame.  #deport #MassDeportationsNow""",en
nasescobar316,@TrustDML @RiverRatOG For American Citizens\‚ There is ZERO benefit to bringing an Illegal Alien Latino into the United States. For her\‚ if this EVIL plan works\‚ she will have ENDLESS Wealth &amp; ENDLESS Power. We will NOT have a country if we allow Amnesty. #ZeroAmnesty #MassDeportationsNow,en
dumpsterjpeg,I agree #massdeportationsNOW,en
HillBilly_Baby,Good God. Enough of this shit 😒 #deport #MassDeportationsNow https://t.co/vkK6koyjR7,en
FemaleVehement,Read it. Share it.  #StarmerOut   #LabourOut #MassDeportationsNOW,en
HillBilly_Baby,I don\'t condone violence against a woman\‚  but Canadians are sick of these people and what they stand for.   #deport #MassDeportationsNow     https://t.co/LzoL2LLggZ,en
HillBilly_Baby,Diversity is definitely our strength. Where would we be without these fine young men? #deport #MassDeportationsNow,en
nasescobar316,For American Citizens\‚ There is ZERO benefit to bringing an Illegal Alien Latino into the United States. For her\‚ if this EVIL plan works\‚ she will have ENDLESS Wealth &amp; ENDLESS Power. We will NOT have a country if we allow Amnesty. #ZeroAmnesty #MassDeportationsNow,en
HillBilly_Baby,The enrichment of diversity. #deport #MassDeportationsNow,en
WhiteCanada22,We will do our part to protect Sikh\'s from the rising hate and discrimination they fear in Canada\‚ by returning them all to their homeland.  Mass deportations end discrimination.    #MassDeportationsNow https://t.co/dv7OeLmeMh,en
HillBilly_Baby,I wish this wasn\'t just one of many such cases. #deport #MassDeportationsNow,en
LucyBibb,All of these people are still in America. #MassDeportationsNow,en
ConservativeGG3,Chief Spreading Bull needs to do her pandering!     #MassDeportationsNOW #StopILLEGALImmigration,en
UranusHasRings,We need this kind of action we need to see here in the UK to rid our streets of alien vermin. #MassDeportationsNow,en
HillBilly_Baby,And this is why the driver responsible for the Humboldt crash MUST be #deported. If you let one stay\‚ they all find an excuse to stay. #deport #MassDeportationsNow #deported,en
HillBilly_Baby,All white people. It was a beautiful time to be alive.  #deport #MassDeportationsNow,en
HillBilly_Baby,More diversity. #deport #MassDeportationsNow,en
HillBilly_Baby,He said he would accept any punishment when he pled guilty. So he should pack up and leave. And quit breeding. #deport #MassDeportationsNow,en
reHDuXVet,Stupid me. A white middle class heritage American whose family has been here for almost 400 years. I saved up to pay for my kid’s college. #MassDeportationsNow,en
Vote_Restore_UK,Happy sunday everyone. Lets help fellow Restore Britain members find our community on X/Twitter.     Comment\‚ like and share this post\‚ and let the algorithm do its thing\‚ to bring us patriots together 🇬🇧 🇬🇧🇬🇧🇬🇧  🤝🫡    We want our country back    #MassDeportationsNow  #RupertLowe https://t.co/4N3BA9wcj1,en
LucyBibb,All of these people are still in America. #MassDeportationsNow,en
Vote_Restore_UK,For all patriots who support Restore Britain. Keep this train going. Comment\‚ like and repost.     Follow those in the comments\‚ and they will follow you back!    We want our country back 🇬🇧     #massdeportationsnow  #rupertlowe  #restorebritain    @RestoreBritain_   @RupertLowe10 https://t.co/HYPWlkIAyN,en
HillBilly_Baby,Love this. #deport #MassDeportationsNow,en
HillBilly_Baby,These people are not compatible with a safe society. We need them gone.  #deport #MassDeportationsNow,en
HillBilly_Baby,Let\'s see this in Canada 🇨🇦.  #deport #CanadaFirst #MassDeportationsNow,en
debraw73,In broad daylight. A man is stood minding his own business\‚ when a deranged\‚ knife wielding monster\‚ decided to go on a rampage. How many more people must die before enough is enough.   Golders Green attack.   #MassDeportationsNow,en
DirtlumpIII,This has no business in Canada. None.  Before y2k immigration policies ensured this shit was left as the door.    #massdeportationsnow,en
HillBilly_Baby,Ibrahim Omar. Didn\'t see that coming. #deport #MassDeportationsNow,en
HillBilly_Baby,Oh fuck off. Can\'t go anywhere without seeing these useless\‚  ugly people. #deport #MassDeportationsNow,en
GordonGekko420,Imagine being a liberal protesting ICE in the freezing cold. Couldn’t be me #massdeportationsnow https://t.co/2h1CxJJ25v,en
Serhiifxv,RESTORE BRITAIN      MASS DEPORTATIONS NOW.      Take Back Our Country.    Secure Our Borders.    Restore Sovereignty.      No more invasion.    No more excuses.    Britain for the British.      Join the Movement.      #RestoreBritain #MassDeportationsNow #BritainFirst #SendThemHome https://t.co/YXRhRbb5v9,en
Vote_Restore_UK,Comment\‚ repost\‚ and follow everyone in the comments.    Patriots 🫡🤝🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧    #restorebritain  #rupertlowe  #massdeportationsnow https://t.co/LJpxk0QVbk,en
gijoe_abn,@BostonGlobe Every day\‚ all across America\‚ monsters are being taken off the streets. This\‚ despite continuous obstruction\‚ is why we need #MassDeportationsNow   https://t.co/4eLNHFCKW0,en
YoshiToranaga3,For better understanding what actually are we dealing with...#StopMigration and  #MassDeportationsNOW are not just options🫵🏻,en
WhiteCanada22,"""Many people pop up in our comments who are almost where they need to be.  They say things like \""assimilate or leave\"" not realizing that we are well past that.  There is no \""assimilate\"" anymore.  The options are choose to leave\‚ or be made to eventually.  #MassDeportationsNow""",en
HillBilly_Baby,How refreshing. An Indian that ran a crooked business and claimed to be victims when he was caught.  #deport #MassDeportationsNow,en
Vote_Restore_UK,Only @RupertLowe10  and @RestoreBritain_  will stop the boats.    #MassDeportationsNow  #StopTheBoats,en
gijoe_abn,@GovofCO Promoting the use of illegals is outrageous. If they don\'t have work visas it\'s #MassDeportationsNow,en
WhiteCanada22,Two nons - both Singhs - recieve 98 charges for stealing out of mailboxes in Calgary\‚ Alberta.  There is no scam or act of theft these people won\'t inflict on us.  Mass deportation is the moderate position.  #MassDeportationsNow https://t.co/u4zmUIgHGf,en
WhiteCanada22,Another non driver pleads guilty after killing a father and injuring his family.  The non already had a dangerous driving charge before killing one of our Folk.  These Anti-White atrocities will only stop when we unite and send them back.  #MassDeportationsNow https://t.co/gsogSiEKwb,en
