author,body,datalegacylang
AUepp86,"Dearbornistan, the Muslim Capital of America. Who would have guessed that importing millions of 7th century fanatics would lead to this? #IslamIsTheProblem",en
basscarl777,"Mirt is the word. Muhammad's preferred outfit. Especially Aisha's mirt.\nSahih al-Bukhari 3775, also Sahih Muslim and Sunan an-Nasa'i narrate Muhammad saying he received revelation while wearing Aisha's garments.\n#IslamIsTheProblem\n#StayAwayFromIslam",en
basscarl777,@Acts17David More male Muslim interpretive dance. And here I was thinking music and dance was #haram.\n#IslamIsTheProblem \n#StayAwayFromIslam,en
AUepp86,But it’s not terrorism right Mayor Mamdani? #IslamIsTheProblem,en
KarolynSwete,Iranian imam: “Women are animals created by Allah to be used by men. #IslamIsTheProblem,en
basscarl777,Adherent to the #ReligionOfPeace peacefully offering a reward to those who peacefully behead Christian pastors in the name of peace.\n#IslamIsTheProblem \n#StayAwayFromIslam,en
sk_lakhawat,⚫️⚫️⚫️🤧🤧🤧\nTha Parasites \n#Islamistheproblem \n#BanTheBook https://t.co/I0SYZ2npZI,en
bigggfudge69,"ISLAM is the most dangerous ideology destroying our world , a barbaric death cult of terrorism, oppression, and endless jihad. \n\nThis toxic religion must be exposed, crushed, and flushed down the toilet of history FOREVER. Enough!\n\n#IslamIsTheProblem https://t.co/K9fR2Yau6m",en
AUepp86,We’ve been warned #Texas. You can listen to @TRobinsonNewEra and @AmyMek and others on the dangers of civilization jihad or you can stick your head in the sand. Islam is a cancer that will kill western civilization if we don’t stop it now. #IslamIsTheProblem,en
A8te_Ball,@AlexDuncanTX Watch this. A video of an interview with a former muslim explains the mindset of taking over the world.\n\n#IslamIsTheProblem      #WakeUpToIslam,en
moonman_outloud,This is your future WITHOUT Mass Deportations.\n\n#DeportThemAll #IslamIsTheProblem #OpenBorders #MassDeportationsNOW #MigrantCrisis,en
sk_lakhawat,🎯🎯🎯 thanks to whoever made this 🙏👍🚩🙌👏👏👏\n*लव जेहाद की झांकी*\nAwareness is Important 🙏\n#Islamistheproblem \n#BanTheBook https://t.co/c3MAp7IlW6,en
Bryan_APDS,"""Important message to @AlboMP please utter the following words :\n\""Radical Islamist Extremists\"" \nThey are more prevalent and far more dangerous than a handful of Right-wing loons\n#IslamIsTheProblem""",en
KamalBhandari__,Death cult Islam.\nThis picture is neither from medieval times nor an AI.\nThis pic shows real face of Islam in 2026.\nImagine how cruel and barbaric it would have been in mediaeval period.\n#endIslam\n#Islamistheproblem https://t.co/Xf4uxGLcFj,en
Bharat101010101,@ARanganathan72 @MaaneetGurtiDD @zoo_bear Wow Bang on..\nZoobair kmows abt it.. \nEntire mulla cult knows abt it.. But they will not do admit it..\n#islamistheproblem,en
KamalBhandari__,"Islam is a cult of psychos:\n\nI am fasting, so you must do so.\nI accept Allah as my God, you must do so.\nI accept Mohmmad as my prophet, you must do so.\n\nOtherwise... I'll kill you. \n\n#BanIslam \n#IslamIsTheProblem",en
Bryan_APDS,"Albo and his failed appeasement experiment.....\nNo one will now take him or Labor seriously about how friendly Muslims are, we have now seen it with our own eyes\nGame Over........DEPORT\n#IslamIsTheProblem",en
eriksson_magnus,Holy Weekend Turns Deadly as Christians Are Slaughtered in Nigeria (Video) - #IslamIsTheProblem https://t.co/saQSXCgutG,en
ketan_patil2024,@TheMuslimMatter Every  such islamic should be eliminated immediately and ruthlessly. \nBharat should not tolerate islamic miscreant anymore. \n\n#IslamIsTheProblem,en
DDT_required,Get the fck out of the USA and go live in a country where your ridiculous delusional religious views fit in.\nWE DONT WANT YOU HERE.\n#IslamIsTheProblem #Islamic_Terrorists_Organization \n#StopImportingIslam #StopIslam #BanIslam #StopShariaLaw #EducateYourselfOnIslam #WakeUpAmerica,en
basscarl777,"If this happened in Lebanon, and in all other countries colonised by Islam, what will happen in Europe, the UK and any other country that Islam seeks to colonise?\n#IslamIsTheProblem \n#StayAwayFromIslam",en
HassanClan,#Truth \n#evil\n#islamistheproblem\n#notthesamegod\n\nSolution = #Deport #Expel #Denaturalize #BANsharialaw,en
dave_gosh,Deport the @IlhanMN @Ilhan send that Vile Muslim SCUM packing back to where she came! #IslamIsTheProblem #BantheBurka #BanIslam #DeportThemAll,en
KamalBhandari__,"Islam means:\nHatred Hatred Hatred.\nMuslims claim minority benefits in India, But threaten the majority Hindus.\n\nSardar Patel has rightly said a community which can force division of a country cannot be called a minority.\n\nMake India Muslim-free.\n#banislam \n#IslamIsTheProblem https://t.co/eCPXB8902u",en
jmavankal,@EYakoby @esw_real 😢. RIP Amir Ali Mirjafari. The Persians are suffering! The mullah regime needs to be crushed. And Islam THROWN out of Persia!\n\n#IslamIsTheProblem\n#BanIslam,en
Bryan_APDS,And some want this barbaric Sharia Law in Australia \n#IslamIsTheProblem,en
chazax1,"None that push against the tide are praised, #islamistheproblem. I watched a grown man burst into tears today remembering a victim of the Manchester arena bombing. Just a child. We can't co-exist. #enoughisenough wasn't his daughter, but it very easily could have been.",en
dechet_les,@GAZAWOOD1 Now she is even speaking for the dead\nDid she ask them\n@GAZAWOOD1 \n#IslamIsTheProblem https://t.co/OCgvb3xusK,en
valess11,The message is -&gt; EAT MOTE BACON INFRONT OF THEM ! ! ! \nMake your choices and let others make theirs!\n#Islamistheproblem,en
iuptr,The ENEMY amongst ourselves. I think this is absolutely SHOCKING. This has NO PLACE in Western Civilization. #Iram #ismal #islamIsTheProblem #FuckIslam https://t.co/53QiK99SHz,en
DDT_required,Have this IMBECILE JUDGE AMY MEACHUM live IN Epic city and see how quick she stops defending these MUSLIM ANIMALS! #IslamIsTheProblem #Islamic_Terrorists_Organization \n#StopImportingIslam #StopIslam #BanIslam #StopShariaLaw #EducateYourselfOnIslam #WakeUpAmerica,en
CaliDreamingof,"@VividProwess All Islam, all of the #DeathCult, want to expand. Their mass-murd*ring, pedophile prophet conveyed the words of their god that demand expansion. Demand all other faiths be taxed or killed if they do not convert.\n\n#IslamIsTheProblem All of Islam is radical.",en
Bryan_APDS,"@JonesHowDareYou What's more important, for chrissakes you people are deluded.......\n#IslamIsTheProblem https://t.co/v4a2XHkte7",en
InnerFalcon,@geertwilderspvv Islam is hate\nIslam is fear\nIslam is war\nIslam is rape\nIslam is obscene \nIslam is a whore\n#IslamIsTheProblem,en
MarkGriffin59,"This provides an excellent insight into the muslim mindset:\n\nIt shows the influence islam has over every muslim, whether deeply adherent or not.\n\nIslam is incompatible with liberal British society now it's grown in number &amp; influence!\n\n#IslamIsTheProblem #WakeUpUK",en
cleaver66811,"@ukhomeoffice @ShabanaMahmood @MayorofLondon @cabinetofficeuk @Keir_Starmer &gt;&gt;&gt; He's making a reasonable point, don't you think?!\n#islamistheproblem #remigration",en
MartinCainActon,@JuliaHB1 @LeeHurstComic Surprised it has taken so long.\nThe scum are probably known to @metpoliceuk  security services &amp; @DWPgovuk \nFor almost 3 years @MayorofLondon has encouraged hate marches &amp; will now deflect blame away from their Koran that orders them to commit such vile acts.\n#IslamIsTheProblem,en
NatalieGT80,💯 Agreed \n#Islamistheproblem\n#Islam #Evil \n#GoldersGreen,en
MarkDur06554409,@AlboMP Yet you import people who want a civil war.\nHow can you Labor be so stupid?\n\n#IslamIsTheProblem,en
MarkDur06554409,@step10459 @Pwoodee67 @AlboMP Your 'old man' would be horrified to find out who Labor are letting swarm into Australia. \nAnd how many.\n\n#IslamIsTheProblem,en
sk_lakhawat,@VividProwess They cant live or CoExist peacefully \n#Islamistheproblem \n#BanTheBook \n#UsmaniKitab,en
sk_lakhawat,@Lawyer_Kalpana The Pathetic clan 🤧🤧\nThey can't coexist peacefully \n#Islamistheproblem \n#BanTheBook \n#UsmaniKitab,en
sk_lakhawat,@LizaRosen0000 #Islamistheproblem \n#BanTheBook \n#UsmaniKitab \nThey can never CoExist peacefully \n\n@BBCNews @10DowningStreet \n@UKParliament,en
sk_lakhawat,"@JaipurDialogues 😱🤔😠😠\n\n#Piramal \n#TCS\n#Islamistheproblem \n#BanTheBook \n#UsmaniKitab \n\nFew can never CoExist peacefully , hardly follow the Law of Land \nPathetic sact \n🤮🤮🤮💩🤧🤧",en
erikgmarrero,Why Mojtaba can’t sign the deal. 🤣 #IranWar‌ #Islamistheproblem https://t.co/KKQ1jbsfVa,en
festa197,Jew-Hate is Now a National Emergency #antisemitism #islamistheproblem #hamasisISIS  #enoughisenough  https://t.co/v52wonZVVI,en
cleaver66811,@ukhomeoffice @cabinetofficeuk @FCDOGovUK @Keir_Starmer @MayorofLondon &gt; there does seem to be a pattern here..... If you want to live in the UK U should be open to our values &amp; way of life. There are at least 1-2m people here currently who don't get that.\n#islamistheproblem,en
PublicJoe31,@MartinMonmouth @Breaking911 He's made it a very dangerous place for all non Muslims to live.\n#IslamIsTheProblem,en
A8te_Ball,"@ImMeme0 Dear GOD  I pray in all earnestness. Please help us to teach and edify other Christians and bring your word of salvation to the world. Help us to push back these demons, this evil, and stop it from touching our kids. In Jesus name I pray AMEN.\n\n#IslamIsTheProblem",en
MarkGriffin59,When Arab nations recognise Britain has allowed islam too much latitude &amp; it's now a dangerous breeding ground for islamic radicals!\n\n#IslamIsTheProblem #WakeUpUK #IslamIsNoFriendOfTheWest https://t.co/UThX3AtD7J,en
L0gicInChrist,"@Cool_Ustaz Its the souls fear, because its know that devil's is been called. #IslamIsTheProblem #IslamIsViolent #IslamIsLies #IslamMakesYouIdiot #IslamMakesYouSlave #MuhammadFalseResul #Allah_Is_Not_God",en
cleaver66811,"@Keir_Starmer @ukhomeoffice &gt; This is True. It’s Disgusting. Why do you always favour rapists? \nWhy are you never on the side of British people?\n#islamistheproblem \nTick tock, the times they are a changing…..",en
CaliDreamingof,@AJENews Giggle. Because the Mullahs of Iran have never lied about anything. \n\n#DeathCult propaganda\n#IslamIsTheProblem,en
