author,body,datalegacylang
saltlifesassy,@realDonaldTrump please ban burkas in America. #StopShariaLaw #StopIslamInvasion Burkas are a threat to americans safety! People who wear burkas and are fully covered can commit crimes. We need to be able to indentify criminals for police to arrest. Thank you.,en
Dakdroid,This marks the start of the decline for the UK! #StopIslamInvasion https://t.co/0CDh5uU789,en
Dakdroid,"""💔🥺 \""That’s not what they died for.\"" Let’s honor their sacrifice by fighting for the values they believed in. We all wave a common enemy #StopIslamInvasion #RememberTheFallen #FreeEurope #FreeUSA #FreeUK https://t.co/0oDgpJl9Sv""",en
Dakdroid,They are not a peaceful religion ❗\nThey are not a religion ❗\nThey are a satanic cult ❗\nThey are not worshipping the True God ❗\nThey are worshipping Satan ❗\n#StopIslamInvasion #MassDeportationsNow #FreeEurope #FreeUSA #FreeUK https://t.co/v9bdo9NNRb,en
manjuspirit,"@Professional010 @atensnut You gotta be zh1tting me!!!! That’s freaking outrageous! #Houston, Texas?!!!! Y’all Houstonians better do something before you regret it mane!!! #stopIslaminvasion",en
are177777,"Texans, after we clean house, let's vote for conservatives who will keep Texas safe like Slovakia is. \n#StopIslaminvasion",en
KissMyMask2,Seems @kroger is also carrying halal food in select locations.\n\n#BoycottHEB\n#BoycottKroger\n#StopIslamInvasion\n#NoHalal https://t.co/XBa1FIhmOj,en
FreqFlyer_72,"GOOD! I pray other countries in The West (Oz, NZ, UK § Ireland) 🇮🇪 wake up too. The atrocities these unvetted, Muslim animals commit are sickening. Murderers, rapists, perverts &amp; paedo’s. It MUST stop 🛑 No more 🕌 🚫🥷🏾 ❌  ➡️ ✈️🛳️ #SaveTheWest #StopIslamInvasion #UniteTheWest",en
LouNunezMiami,@elonmusk Inclusion isn’t fair.🤔\n#StopIslamInvasion \n#StopShariaTyranny\n#ShariaKills,en
are177777,"@ShirionOrg @stoolpresidente Of course, a Mohammed.\nMuslims conquering through globalized intifada and idiots laughing instead of protecting the USA from demonic satanic-infested Islamic ideology. It starts with antisemitism followed by anti-American hatred. \n#StopIslaminvasion",en
saltlifesassy,They do not belong in America! #StopIslamInvasion,en
Tigersharke,@therealginnyrob @NotUnderdog We would *HOPE* that not everyone was a self-hating bend-over-for-political-correctness MORON and we might see some counter action such as protests of every shape and form until their government DOES SOMETHING!  #StopIslamInvasion #CloseBorders #RuleOfLaw,en
coatsey9110,@AmyMek @sadiqkhan THE MEDIEVAL CULT OF CHILD ABUSE....#stopIslaminvasion,en
saltlifesassy,They abuse women and girls. Marry 6 year old girls and impregnate them at age 9 years old. Women Hate and Pedophilia. #BanShariaLaw #StopIslamInvasion,en
KingFrap,Disgusting how uncomfortable they’re making him feel for eating on his dinner break. Disgusting. #stopislaminvasion,en
saltlifesassy,Marring 6 year old little girls and impregnating them at age 9 years old is pedophilia! #StopIslamInvasion #BanShariaLaw #KidsAreNotForSex,en
FreqFlyer_72,The atrocities these animals commit; unvetted Muslim men flooding The West. No more. It MUST stop 🛑 No more 🕌 🚫🥷🏾 ❌  ➡️ ➡️ ✈️🛳️ Their own countries don’t even want them &amp; their hate filled rhetoric. #SaveTheWest #StopIslamInvasion #UniteTheWest,en
FreqFlyer_72,"This is an absolute disgrace! It’s not the Ganje’s River. Why didn’t you call the police? 👮 🤣😂🤣😂 I KNOW, cuz you’d probably end up being the one arrested right. #UniteTheKingdom #StopIslamInvasion #OneRule4UsOneRule4Islam #StamerOUTNow #NoDigitalID #StoptheBoats",en
FreqFlyer_72,The atrocities these animals commit; unvetted Muslim men flooding The West. Let in by OUR GOVERNMENTs. No more. It MUST stop 🛑 No more 🕌 🚫🥷🏾 ❌  ➡️ ➡️ #SendIllegalsBack ✈️🛳️ to their countries to spout their Islamic hate rhetoric. #SaveTheWest #StopIslamInvasion #UniteTheWest,en
Be2Be_Club,Hell yes !\n#stopIslamInvasion #stoppedophileculture #fuckallah #fuckmuslimmen #fuckislam,en
Brugge669116163,@EvaVlaar It's time\n#StopIslamInvasion https://t.co/CGxauF6ENb,en
texas_US_proud,"@StopAntisemites @SecRubio @StateDept @Sec_Noem @TulsiGabbard why do Islamists get a free pass? These thugs should be denaturalized, citizenship revoked, visa revoked, and deport! Islam is not compatible with the West. #stopislaminvasion",en
Dakdroid,@AshleaSimonBF 💯 Not only ban this devil's law but also #StopIslamInvasion,en
Dakdroid,Disgusting. I'm so tired of them. Islam is a cancer to society #StopIslamInvasion #MassDeportationsNow #FreeEurope #FreeUK,en
