author,body,datalegacylang
Rüya,"İşgalci İsrail askerleri, Filistinli çocuklara yönelik bu vahşeti sistematik bir şekilde sürdürüyor.\n\nSiyonizm ve İsrail budur işte.\n\n#PalestiniansNeedYou #GazaGenocide #FreePalestine https://t.co/OULcsFxmKJ",tr
Rüya,"Bu görüntülere yürek dayanmıyor…\n\nDünya bu vahşete ne zaman dur diyecek? Susmak, siyonist İsrail’e cesaret verir. Susmayın! Filistinli esirlerin sesi olun.\n\n#SavePalestinians #GazaGenocide #FreePalestine https://t.co/0FRQq8O3Ta",tr
El Fantasma,"Así defiende su tierra el pueblo palestino con lo que sea del invasor sionista genocida, siempre habrá resistencia palestina contra estos invasores, nada  ni nadie detendrá al pueblo palestino en su lucha por liberar a Palestina #FreePalestine #Gaza #IsraelTerroristState https://t.co/XZ41oiqwkS",es
₿en Wehrman,"Here's a Jew screaming on the floor of a #FreePalestine rally, and waiting for the media to make up a story saying he was attacked.\n\nIt should give you great confidence to know we are not dealing with strong people, but incredibly weak people who are just much more organized and https://t.co/AvgldrhpXU",en
Abdulhamid,👿Terör militanları biri 5 diğeri 4 yaşında 2 Filistinli çocuğu kaçırdı.😢\n\n#FreeDrHussam #MyHeroDrHussam\n#FreePalestine https://t.co/Xwo8INYnlB,tr
El Fantasma,"No creo que hayas visto el coraje y la valentía de un pueblo, aquí la resistencia Palestina con lo poco que puede luchar y enfrentar al régimen sionista pero puede mas su dignidad y el derecho a su libertad, siempre ha sido así este pueblo, valiente. #FreePalestine #Gaza https://t.co/iFSlpDrzMQ",es
Manel Márquez 🍉,"¡No olvidemos jamás la dignidad de las mujeres de Gaza!\nEsta mujer valiente y digna es la Dra. Amira de Gaza.\nCorrió frente a las balas de los francotiradores israelíes sin dudarlo, para sacar a un paciente de su hospital y salvarle la vida.\n#FREEPALESTİNE\nhttps://t.co/b6x2KepTwz",es
Valy 🎩🎭,ULTIMA HORA...\n\nReto Viral que ha llamado la atención de millones de jovenes #FREEPALESTİNE \n\nVerdaderamente Increible el apoyo de las juventudes que estan subiendo sus videos por millones‼️👏👏👏👏👏👏 https://t.co/ZQJ0ywNZuv,es
Antifa_Ultras,#FreePalestine https://t.co/G4bCQbzcdK,qme
Rüya,"Bunlar mı “dünyanın en ahlaklı askerleri”?\n\nSiyonist İsrail askerleri, dünyanın en ahlaksız askerleridir!\n\n#PalestiniansNeedYou #GazaGenocide #FreePalestine https://t.co/usDsXuXNNR",tr
Julio Rodríguez,"Nos concentramos frente a @MAECgob para condenar el secuestro de activistas de\n@gbsumudflotilla, por parte del Estado terrorista de Israel.\nPor la liberación inmediata de Saif y Thiago.\nHan convertido la crueldad en política de Estado.\n#FreePalestine\n#NeverStopTalkingAboutGaza https://t.co/ufAg24Dnet",es
Esra Elönü,İsrail’in soykırımcı olduğunu Avrupa Konseyi’nin kayıtlarına geçiren \nSumud kalpli Meryem Göka .. \nDuamızdasın 🇵🇸🥲💐\nTüm üyelere selam olsun .\n#FreePalestine  https://t.co/K9BdnJmNQ8,tr
Valy 🎩🎭,"""La supermodelo mundialmente famosa Bella Hadid, al salir del evento al que asistió, gritó el lema \""Libre Palestina\"".\n\n#FREEPALESTİNE 💥💥💥 https://t.co/RaEbUM4BTW""",es
Rüya,"Burası Batı Şeria’da bir ekmek fırını.\n\nFilistinli bir esnafın dükkânı, işgalci İsrail askerleri tarafından dağıtıldı.\n\nBunlar mı “dünyanın en ahlaklı ordusu”?\n\n#GazaGenocide #FreePalestine #23Nisan #persembe https://t.co/jubnclrDcS",tr
El Fantasma,"Las hordas criminales sionistas genocidas arremeten contra los palestinos en los territorios ocupados, esté ejército terrorista inmoral son la peor escoria que ha parido la humanidad igualmente los sionistas criminales. #FreePalestine #Gaza #IsraelTerroristState https://t.co/63m5kXQm3X",es
El Fantasma,"🇵🇸 La verdadera resistencia palestina, la verdadera resistencia de los gazatíes, la verdadera resistencia de los cisjordanos, los que verdaderamente se sacrifican y martirizan, la victoria ✌️ les será concedida por su gran sacrificio, honor y valentía. #FreePalestine #Gaza https://t.co/mF5DsfczNc",es
Antifa_Ultras,"Celtic FC, Scotland\n\n#FreePalestine https://t.co/hKKNq9pHvI",en
