author,body,datalegacylang
___IRANI,"@BrissyMAN @IonaItalia Why don't you go to Gaza and die for it yourself, bigot? Or do you just want others to die for your #HamasTerrorists? Do you actually love Australia, or are you trying to turn Australia into Gaza? https://t.co/KUjfwHjvpF",en
RakMakkabi,"Nach Frankreich und Deutschland hat auch Österreich die Hamas-Braut Francesca Albanese zum Rücktritt aufgefordert. \nEin guter Anfang, um Islamofaschisten auf allen Ebenen zu bekämpfen.\n#UN \n#HamscecsAlbnese \n#HamasTerrorists https://t.co/cfh8lGV9VL",de
LawdanBazargan,All terrorists in the Middle East are on the payroll Islamic Regime of Iran or Qatar \n#HezbollahTerrorists\n#HamasTerrorists \n#IRGCTerrorists,en
EmameM11047,@SafaiDarya #HamasTerrorists = #IRGCTerrorists,und
sabionda2022,#NiOlvidoNiPerdon\n#hamasterrorists,qht
sportbikeguy00,#Hamas #hamasterrorists #EndHamas,qht
sabionda2022,#hamasterrorists #NiOlvidoNiPerdon,qht
AmanteCiud5885,@WallStreetApes #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #criminals #predators #somalipirates #fraudsters,qme
brit_downunder,‘Pathetic’: Chris Minns urged to overrule Clover Moore’s council and stop ‘Globalise the Intifada’ event https://t.co/Hn61qcVG0E\nIt's the kind of behaviour from the useful idiots for #HamasTerrorists that encourages #Antisemitism! 🙄🇦🇺\n#HamasAreTerrorists #HezbollahTerrorists,en
Dwarcelone1,Tsjaa.... volgens een recent rapport van de @AIVD worden dit soort PalliePijpende volidioten demonstraties gesponsord door de PR-Afdeling van #HamasTerrorists. \nVerder is er niets aan de hand hoor 🤷‍♂️\nhttps://t.co/Mz9BTjzdeo,nl
JaramshahK58882,Viva #Israel💪🔅Say No To (#HamasTerrorists = #IrgcTerrorist) https://t.co/SPG64yfFUP,es
Bosmans10503921,#HamasTerrorists,qht
Bosmans10503921,#HamasTerrorists marrying after r@ping in group on 7oct'23\n\nSHARE https://t.co/XIALF6G6Af,en
Bosmans10503921,#HamasTerrorists\n\nhttps://t.co/tgl5O7XP4f,qme
Septuaginta_LXX,@realMaalouf #HamasTerrorists können mich mal!,de
Normitis22,"@danilerer No exigió lo mismo cuando los de #HamasTerrorists secuestraron y mantuvieron en cautiverio a cientos de israelíes casi 2 años dentro de túneles torturándolos ???\nSin olvidar a los 1200 que masacraron el 7/O \nSu vara de medir es la de siempre, hipocresía.",es
metalsello,#HamasTerrorists #FuckHamas #StopIslam,qht
sportbikeguy00,#Hamas #EndHamas #hamasterrorists,qht
wendy_zk,"Early on in this war, that was  started by #Hamasterrorists on #Oct7, a common insult I got was being called a Kahanist-yea, two years ago people who 'knew' history where still Pro-Pally.\nI didn't know what that was.\nSo I learnt.\nAnd yea, today, I am a Kahanist.\nThey made me 1.",en
AmanteCiud5885,#HamasTerrorists #EvilBastards #DeportThemAll #jihadists #Londonhasfallen #predators #criminals \nhttps://t.co/YZiveizU91,qme
AmanteCiud5885,@BasilTheGreat #Londonhasfallen #taqiyya #HamasTerrorists #jihadists #criminals #somalipirates #DeportThemAll,qme
MogensStrunge,🇮🇱 Honoured be the memory of Inbar Shem Tov. Murdered by the #HamasTerrorists on #October7th 2023 🕯️,en
Rahele26,"@doremif16270601 @humanite_fr Macron a toujours voté contre Israël à l'ONU. Macron ne porte que préjudice à Israël.\n Macron a envoyé des milliards d'€ à #HamasTerrorists . MACRON OTAN VA-T-EN-GUERRE, c'est le nouveau  Hitler+Pétain mondial, en plus pervers et sournois . https://t.co/zuEEP5qXSC",fr
w0tn0t2201,@gazanotice Thank your #HamasTerrorists,en
sabionda2022,#hamasterrorists #NiOlvidoNiPerdon,qht
brit_downunder,@dunstablian It's empowering the useful idiots for #HamasTerrorists and it allowed them to spread their hate. It's the same in Australia! #HamasAreTerrorists #HezbollahTerrorists #IsraelFightsTerror #Israelunderattack #BondiBeachTerrorAttack #Antisemitism #WokeMindVirus #doublestandards,en
MogensStrunge,"🫡🧡 Niagara Falls honouring the memory of Shiri, Ariel, and Kfir Bibas who were murdered in captivity in Gaza by the #HamasTerrorists!",en
Fishmac1201,"Aus Telegramm, ein arabischer Kanal.\n#HamasTerrorists #Iran #Israel \nhttps://t.co/k9esPdpaXw https://t.co/13lFwD9zWZ",de
EboshiJasmine,@HillelNeuer @voguemagazine @BritishVogue Shameful Magazine.\n @FranceskAlbs is a blood washer of #HamasTerrorists \n#IraniansStandWithIsrael,en
BaroudMan,Pas de pitié... 🇮🇱 #IsraëlVivra #HamasTerrorists,fr
ROKARUW,#hamasterrorists hizo esto!\nhttps://t.co/27cmUCMcR3 hijos de puta,es
EboshiJasmine,@daveatherton @andrejpwalker @virtualash As an Iranian woman I stand with British Jews.\n#HamasTerrorists https://t.co/SOuTHgF234,en
NelaZNela,#IRGCterrorists using schools!\nThe same as #hamasterrorists  &amp; #Hezbollahterrorists,en
Baghi161,"Ich habe gerade gelernt, dass unsere Proteste gegen #Hamasterrorists nichts wert sind, weil wir nicht wie Frau Preisler eine 1-Frau-Show abziehen. Übrigens ist das genau der Grund, warum die vielen anderen organisierten Proteste in #Berlin nicht gesehen werden: 1/",de
Dwarcelone1,@GEvanlagen Tsjaa.... volgens een recent rapport van de @AIVD worden dit soort PalliePijpende volidioten demonstraties gesponsord door de PR-Afdeling van #HamasTerrorists. \nVerder is er niets aan de hand hoor 🤷‍♂️\nhttps://t.co/Mz9BTjzdeo,nl
JJBergerac,tous les pro #hamasterrorists inventent sans apporter une seule preuve à leur dire,fr
Fishmac1201,"Nur mal kurz zu den #HamasTerrorists #Tunnelratten und der Bevölkerung von Gaza. Wer aufgrund der Ruhe um das „verhungernde„ - zumindest nach Ansicht unserer #PalyLutscher - Volk dort meint der Drops ist gelutscht, nö. Die züchten gerade die nächste Generation Mörder heran. https://t.co/xahfKvgUx4",de
AmanteCiud5885,@TRobinsonNewEra #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #criminals #predators,qme
Bosmans10503921,"Walgelijk. @FrancescaAlb  steunt #HamasTerrorists , en wordt er allicht voor betaald door Hamas.",nl
SamMali29656351,@ACampaNajjar Go compete election in Gaza if #HamasTerrorists accept any opponent! https://t.co/BB5PGqKpzm,en
Doc_JJK,#HamasTerrorists are monsters...\n#IDFFYI....,en
sabionda2022,#hamasterrorists https://t.co/2qCo1I1J5D,qme
JacquesMonasch,Hoe is het om dagelijks in bed te liggen met iemand die terrorisme verheerlijkt? Vraag het aan de burgemeester van #Newyork #Mamdani #hamasterrorists,nl
Ahura_Shirazi,@MSAlmalik @Irannerin @PahlaviReza @PahlaviComms @Maryam_Rajavi @Maryam_Rajavi_P #MEKterrorrist #IRGCterrorists #hamasterrorists https://t.co/mNkTncrAxw,qme
dankogaion,#HamasTerrorists,qht
sabionda2022,😠😡🤬 #hamasterrorists,qme
HoundDog1999242,"""Where are the people who say \""Free Palestine\""? #HamasTerrorists""",en
AmanteCiud5885,@Keir_Starmer @MayorofLondon = #HamasTerrorists #EvilBastards #jihadists #DeportThemAll #Londonhasfallen #taqiyya #predators #somalipirates #cowards\nhttps://t.co/3pH5ZUIEeM,und
brit_downunder,@PolitlcsUK @JeffJohanson4 The cabbages are useful idiots for #HamasTerrorists,en
InquiringFinds,We wiped out 48 LEADERS OF GLOBAL TERRORISM!\n#Iran #TrumpDoctrine #HamasTerrorists #HezbollahTerrorists #HoutiTerrorists #AbrahamAccords #Oct7 #BoardOfPeace #ArsenalOfFreedom #HamasCaucus #MAGAMajority #SaveAmerica #2026Election\n\nhttps://t.co/3BQZWMqFWl,en
brit_downunder,https://t.co/SGS37R0YHm\nThe useful idiots for #HamasTerrorists have too much influence! #HamasAreTerrorists #HezbollahTerrorists #IsraelFightsTerror #Israelunderattack #BondiBeachTerrorAttack #Antisemitism #WokeMindVirus,en
EboshiJasmine,@jnbarrot @ALLMEP @francediplo @gouvernementFR @franceonu @EmmanuelMacron @SebLecornu La présidence du brassage du vent. \nEt on négocie donc avec #HamasTerrorists????\nIl n'y a même pas d'unité palestinienne.\nLa demagogie. \nVirement 2027. https://t.co/dW5nUKb0Ss,fr
avesta70,Deport them!\n#Hamasterrorists\n#RezaPahlaviForIran\n#ThankYouBibi \n#ThankYouPresidentTrump,en
eShon100,"@WearThePeaceCo Every  piece of sheeet tell push his nose to my country 🇮🇱 . Hypocrites racist, trend followers.  Fvk them #israel @IDF #HamasTerrorists https://t.co/accKhLQbot",en
MRavindra2021,"There are no civilians and #HamasTerrorists seperately.\nThey all are entity including women, kids and old age people in #Gaza",en
margav64,Hamas y su mensaje 😱😱😱\nY pensar que hay gente que los defiende!!\n#HamasTerrorists  https://t.co/8UOg5Ebtx9,es
MilaGriebel,"The 'open air prison' has always had a problem with obesity ,not bad for a staving population and a made up genoside #HamasTerrorists",en
Dancingdog2003,"In memory of the hundreds of beautiful, peaceful souls murdered by #HamasTerrorists in the #October7Massacre at the NOVA Music Festival in Reim, Israel… Forever in our hearts 💔🕯️.\nTheir beloved memories will forever be for blessings 🙏🏼😞🤍🕯️ https://t.co/gsRsesiQCX",en
