author,body
judge148,People are drawn into gender cults for three main reasons: autism\‚ childhood trauma (often sexual abuse)\‚ or fetish/kink. The latter is exclusively men\‚ related to autogynephilia. #GenderIdeology #Autogynephilia https://t.co/VKbbRmHkfm
judge148,Gender Ideology: Is it Harmful? A Heated Debate  #GenderIdeology #Debate #Identity #Society #Discussion #CultureWar #Controversy #Beliefs #SocialIssues #CurrentEvents https://t.co/CCJY4s5Z5P
judge148,The transgender flag\'s colors—baby blue\‚ pink\‚ and white—are meant to evoke babyhood. Designed by Robert Hogg (now Monica Helms)\‚ this symbolism is detailed in his book\‚ \'More Than Just a Flag.\' Awareness is key. #GenderIdeology #Awareness https://t.co/o46iYXlwic
jamespyles,I know that #Hollywood needs a certain number of child actors &amp; I also know that more often than not\‚ the industry destroys #children. More &amp; more that includes bombarding them with #genderideology &amp; messages about being #trans &amp; #genderfluid https://t.co/wNk40nqXYd
judge148,The ideology doesn\'t like to be talked about. It\'s infiltrated institutions. Compromising the safety of women in sports\‚ taking prize money and scholarships away from girls. #GenderIdeology #WomensRights https://t.co/C7cFvEST5i
judge148,Concerns are rising as concerning trends slip under the radar\‚ like irreversible medical decisions for young girls and men competing in women\'s sports. Diverting the conversation to sexuality is a tactic to avoid addressing these critical issues. #WomensSports #GenderIdeology https://t.co/LLvig1nuNQ
Gilbro2010,Did you know that both “Genre” and “Gender” in English translate to “Genre” in French?    #GenderIdeology #IdéologieDuGenre
coachblade,SO TRUE!!  👉🏼 We’ve all be living through a “Frankenstein social experiment imposed on real women and girls.”    #GenderIdeology is a failed experiment.    PLEASE\‚ let’s move on!!
kimturner70,Why every women isn’t speaking out like this I don’t know. Which women are ok with this type of behaviour????   #sexmatters #genderideology #keepmenout
VicIsherwood,If this was 10\‚ 15\‚ 20 years ago I\'d have thought it was a sketch by The League of Gentlemen\‚ Chris Morris\‚ Julia Davis\‚ and played by #Sightseers\' Alice Lowe (watch to the end). #GenderIdeology
Diogenes3000,This illustrated the core of #TransActivism.  Trans is untethered from reality.  It is a delusion based on severe mental illness.  #GenderIdeology is the same as being a flat-earther.
PeymanAskari451,We the candidates see the illness\‚ whereas the voters see the symptoms     Watch Full Episode     https://t.co/hmJXkFhVh1    #genderideology #housingcrisis #inflation #immigration #invasion #HealthcareCrisis #hadenough #joinus #PPC #PeoplesParty #protectyourkids #ProtectYourFamilies https://t.co/KkSB4w9V10
judge148,Raising awareness about harmful gender ideology. Reaching millions online vs. a few in person. Speaking to detransitioners and affected parents. #GenderIdeology #Awareness #SocialMediaImpact #ParentalSupport https://t.co/4cxolBqzhI
anisem001,This shows the strength of the Loby in America    #Gender laws\‚ makes an educated Dr refuse to say the truth    Can a man get pregnant?  Yes or No    #GenderIdeology https://t.co/FIaVR2nv17
GrannyMary59,#GenderIdeology   Oh dear\‚ Ireland. https://t.co/eFaGsSwkuJ
LeftistsofMN,"""Hearing the words \""Chemical Castration\"" by @PressSec is both welcome and extremely shocking.    We\'re finally getting the TRUTH from the podium about Radical Gender Ideology.    #GenderIdeology"""
Dani_Activist,I wasn’t born in the wrong body.  I was just told I’d be happier if I changed it.  They were wrong.  I regret listening.  And I’m not the only one.  #DetransAwareness #GenderIdeology
rainbowsnook,Predictable outcome when @ForWomenScot #SupremeCourt ruling is ignored by those pushing #GenderIdeology  Any comment\‚ as you like to pontificate about stopping #VAWG @StephenMorganMP @UKLabour  #SexNotGender #NoToSelfID #RestoreSafeguarding #SingleSex101 #StandUpForSingleSexSpaces
SopianaeNet,"""Satanische Umkehrung eben. Kardinal Sarah ist ein entschlossener\‚ kluger Konservativer. Ob er \""papabilis\"" wäre? Der Ungar Erdő und der Deutsche Müller sind auch wieder im Gespräch. Was meint David @DrDavidBerger ? #genderideology"""
Gail13007674,Families are being divided by ideologies that deny the existence of only two sexes. #Parenting #GenderIdeology #Detransition Find the full interview here:  https://t.co/mpsLtfjPgJ  Spotify: https://t.co/090DwJFuzv  https://t.co/0Tks4aCBXc https://t.co/i8lK9kM4Jd
PrishaMosley,Little letter to the editor in the Baltimore Sun published calling trans and “ideology” and comparing it to religion. #MDPol #GenderIdeology https://t.co/4KaQ8BiHbM
VicIsherwood,It\'s like that bit in The Silver Chair where the children and Puddleglum are in the giants\' castle\‚ read the giants\' cook book and realise the reason they\'ve been invited to the Autumn Feast is because they\'re on the menu #Epstein #Trans #GenderIdeology #PubertyBlockers
SEENintheCoE,📣 Have your say on who should become the 106th AOC    Someone with a commitment to sex realism and appreciation of the dangers #genderideology poses to #safeguarding\‚ please!    (How Stonewall ideologically captured the C of E beggars belief).    https://t.co/SVVSQyW981
decramundo,"""Strip searches of females by serving self iDing male @metpoliceuk  officers - \""OK\"". Cheek swap to ensure females only compete in athletics - \""NO WAY!\""  #genderideology  @CrunchAlias   @Serena_Partrick"""
PeymanAskari451,Gender Ideologies in schools\‚ Inflation\‚ Housing crisis\‚ Immigration and Health care are the important issues to my constituents.     Watch Full Episode to see how the People\'s Party of Canada\'s platform solves these issues.     https://t.co/hmJXkFhVh1    #genderideology #housingcrisis https://t.co/1NuIBooY7j
1frankthinker,And in their locker rooms and bathrooms. What is wrong with you @SenateDems ?!! You need to dump #genderideology and reclaim actual scientific reality. #SexisReal
GraniteDiscours,Why do people use pseudonyms when discussing gender ideology? @evs2003 from @DIAGdemocrats  explains the fears of losing contact with children and the risk of job loss. #GenderIdeology #Parenting https://t.co/wMPp40RGLo
justmjrodriguez,The #GenderIdeology is being let to weaponize many media outlets (and the movie industry) against the wellbeing of our children &amp; youth\‚ imposing on them values which are clearly against truth &amp; reason. Shame on #Netflix
tccouncilorg,"""It was a delight to attend and present again at the 6th PEuCET Conference \""#Patriots - Nothing about us without us\"" on the topic \""Fighting #GenderIdeology - Protecting Children\'s Rights and the #Christian #family Model\"" at Margaretha Island in the #Donau in #Budapest\‚ #Hungary. https://t.co/g6EZLv0NOE"""
coachblade,Excellent conversation with Amy Hamm @preta_6 .   It just goes to show…  Good hearted Canadian citizens often have no idea that the political candidate they are supporting believes that women’s #SexBasedRights can be stepped on by men claiming to be women.    #GenderIdeology is
KODPOW,"""A dad challenged me to a debate\‚ then quit because I wouldn\'t call his daughter his \""son.\"" You can\'t have a debate based on a lie. Should I keep trying in 2026?  Full update: https://t.co/AsOc86aGTu  #GenderIdeology #Debate #FreeSpeech #Truth https://t.co/BxMgp1kqz7"""
Gilbro2010,Why celebrate a function your female body performs while rejecting that same female body that makes that function possible?  That makes no sense.    #GenderIdeology #QueerTheory
RaesGamma,I\'ve been really MIA but I think I might be finally back in the head space to start speaking up more again.     Again I say\‚ how dare they groom a child to believe they are anything less than the Woman or Man that they are meant to become?     #genderideology #virginia #unitedstates https://t.co/KfhdNahHAH
dudlooklikelady,It’s #wonderwomanwednesday and I’m here to remind you that you’ve been lied to your whole life\‚ and they tell us the truth in fiction. Whether or not you can see it is your problem. #genderideology #egi https://t.co/J8DTF6u17G
kimturner70,If you are not aware of the insidious nature of #genderideology catch up here. Women’s lives ripped apart because we won’t accept lies and our rights trampled upon #sexmatters #womensrights
genderisharmful,@HazelAppleyard_ If being gay isn\'t about sexuality\‚ then what is it about? Because it sure ain\'t gender!  #ConversionTherapy  #GenderIdeology
AdvocatesPC,Parents of gender-confused children\‚ there are three things you must do to get your child back from the cult. @sophiainstitute  https://t.co/PJxaFzfJff    #genderideology #gendercritical #nosuchthingasatransgenderchild #stoptransingkids #gendercult https://t.co/YVOD87qwoG
museumsireland,We\'ve long suspected that Orwell\'s \'1984\' was the \'#EU\' operating manual\‚ but there appear to be quite a few destruction manuals in circulation!    This one actually advocates the nEUtering of our Teutonic neighbours.  Nowadays #GenderIdeology expedites UNnatural selection! https://t.co/ip3vptTaB2
GrannyMary59,Nothing says inclusion and diversity better than trampling over women\'s rights to single sex spaces and single sex sports just to pander to a fetish or delusions. #GenderIdeology #GenderSelfID
AdvocatesPC,Forcing children to decide whether they believe their parents or believe their teachers is destabilizing to the child and incredibly unethical. https://t.co/g8pszeCAsu    #StopTransingKids #gendercritical #genderideology #education #teachers #parents @ethical_care @truththerapist
MatovinaIvana,How gender ideology crept into the life of the average European without public and parliamentary debate about it:  #genderIdeology
HeRedeemsUs,Holy Moly 😵 #PublicSchools guiding #GenderIdeology
GrannyMary59,Imagine how many de-transitioners we will have in Ireland soon? #GenderIdeology #SexNotGender
joliveroconnell,Thursday evening bromide\‚ on @RedState.    The Kids Are All Right: SoCal High School Girls Walk Out to Protest Boys in Girls\' Bathrooms https://t.co/BEvrqKH210 #genderideology #bathrooms #transgender #protests #California #Anaheim #EsperanzaHS #LesleyLedesma
PeymanAskari451,47% of kids in one school district identifying as LGBTQ 🧐. Telling a kid they can be any gender they wish is like telling them either hand can be their right hand. We\'re just confusing them. #GenderIdeology #ParentalRights #EducationCrisis @ALEXNEWMAN_JOU @NCICanada https://t.co/gRXIkFVJAk
Diogenes3000,#GenderIdeology is a mental illness.  #TransActivism is #misogyny.
kimturner70,Just tuned into Parliament TV and surprised but very pleased to hear @gordonlyons1 state men should not be allowed in women’s sport. I thought NI was fully captured by #genderideology #sexmatters
AdvocatesPC,2026: It\'s time to take out the gender ideology garbage.   https://t.co/uz7X26c3Tf    #genderideology #gendercritical #stoptransingkids https://t.co/gVT4Uy8MtF
darknessintheg1,⁦@theRCN⁩ have serious questions to answer.Shocking story. #GenderIdeology #RCN #sandiepeggie     Compared to Tommy Robinson\' - Nurses hit out at RCN on gender ruling | The Herald https://t.co/ait97iwYKB
Dani_Activist,A boy plays with dolls. A girl climbs trees.  That’s not a diagnosis. That’s childhood.  Stop pathologizing personalities.  Let kids be kids.  #ProtectChildren #GenderIdeology #LetKidsBeKids #TransAgenda
rainbowsnook,Shame on you @AngelaKandola You scuttled away passing buck to yr comms officer. You had a women’s rights activist ejected from #IWD2026 Your event exposes how women who pander to #GenderIdeology trample women’s rights underfoot. #TransRights = men’s rights @LWSLocals @LwsMidlands
museumsireland,"""\""HER SPERM\""!    Feeding delusions reinforces cognitive dissonance\‚ and is ill advised.    In #Ireland of course\‚ full insanity mode has been engaged\‚ and the alternate reality Fantasists get to suckle on the €7\‚000\‚000\‚000 #NGO tît.    #GenderIdeology   #WokeMindVirus https://t.co/A2mnfsVHfF"""
BeanSheMise,🚨 A *MUST-ATTEND* meeting for anyone interested in pushing back against the takeover of women\'s rights\‚ safe spaces\‚ sports\‚ opportunities &amp; language by #GenderIdeology.  @OdohertyI64991
rainbowsnook,“What Katie Did” - read how John Lewis &amp; multinational corporations beclown themselves: #GenderIdeology causes companies to act against their own best interests\‚ invite ridicule\‚ lose customers &amp; public support @AliceHarperGC #SexNotGender #SexMatters #NoToSelfID #Safeguarding
AhoraQue1986,He shares his battle with gender ideology\‚ which he describes as a social virus that infects vulnerable youths  @IWF  proudly amplifies the voices of #detransitioners as they fight to protect children and teens from the irreversible harms of #genderideology  https://t.co/Kmc5lXsSvD
ThisIsGreatBrit,The EU proposes gender policies that would enable a child to pick their own gender. Brexit distances this country from this insanity.    #EU #GenderIdeology
