author,body
talesofpiper,"Parents—home ed or not—are losing rights fast.\n\nSEN support? Only if Gov says so.\nSick child? School decides.\nTerm-time holiday? Fines, prosecution, prison.\n\nStill think you’re free to parent as you see fit?\n\n#AreYouListeningNow #HomeEducation #ParentsRights"
PRIEMaine,"Our FOAA fund that holds these woke and corrupt elected officials accountable is low after our MPA submissions, so to contribute and receive every record we receive back as soon as we do please use PayPal and Venmo. The best has yet to come.  #parentsrights #action #fightback https://t.co/eU06GpHrz9"
newsdhani,“पढ़ाई या व्यापार?” - बाहर से खरीदारी पर प्रिंसिपल ने की बेइज्जती\n#SchoolControversy #ParentsRights #EducationSystem #SchoolRules #viralnewsodisha https://t.co/RObPjlZZxL
News_Corridors_,"दिल्ली में प्राइवेट स्कूलों पर सख्ती 🚨\nCM रेखा गुप्ता का साफ संदेश—किताबें, यूनिफॉर्म और स्टेशनरी खरीदने के लिए पैरेंट्स पर किसी तरह का दबाव बर्दाश्त नहीं होगा।\nजरूरत पड़ी तो खुद स्कूलों का निरीक्षण करेंगी।\nनियम तोड़ने वालों पर होगी कड़ी कार्रवाई।\n\n#PrivateSchools #ParentsRights https://t.co/WdmbdOEBzX"
katywh20,AG #PamBondi was asked about investigations into Letitia James and others not #ParentsRights or #trans.   WTH?\n\nhttps://t.co/pr4ivn7F2P
PacificJustice,Fighting for parents’ rights to homeschool their children and to opt-out their child of objectionable material. Every parent should have the freedom to choose what’s best for their child's education and values. ✏️📚\n\n#ParentsRights #HomeschoolFreedom #PJI #EducationFreedom https://t.co/MsZz02Qog2
PSOPennsylvania,Every parent deserves a voice in their child’s education. Our Parents Bill of Rights empowers them to make informed decisions about their child’s future. Learn more here: https://t.co/7GE7NgtshJ. #ParentsRights #SchoolChoice #PSO
SteveLoomis79,"They refuse to protect women and girls, protect illegal aliens over the rights and safety of US citizens, and spend our tax dollars on nonsense. \n\nDEMOCRATS ARE SPINELESS #parentsrights #protectgirlssports #trump #execu... https://t.co/OrrSW2ohry via @YouTube"
ConservativeGG3,"Parents, SPEAK UP!!! You have the RIGHT to know where your child is! \n\n#ICEProtests #IStandWithICE #ParentsRights"
VSHL67,"‼️MARK YOUR CALENDAR‼️\n\nVSHL Pres @O_G_Turner will speak in Richmond on Tuesday Oct 7. \n\nNow more than ever, it’s important that #ProLife voices be heard and #ParentsRights be respected in Virginia. \n\nWe’ll see you tomorrow!\n\n#getthefacts   #protectparentsrighttoknow https://t.co/72CDLySUZq"
